,id,a_node,b_node,length,road_type,geometry,capacity_cars,type_bike,speed_car,speed_bike,free_flow_time_car
0,72341,4874,4886,48.19354,10,"LINESTRING (83445.578125 447832.03125, 83417.3515625 447792.96875)",1200.0,None,35.0,15,4.957049828571429
1,72342,4886,4874,48.19354,10,"LINESTRING (83445.578125 447832.03125, 83417.3515625 447792.96875)",1200.0,None,35.0,15,4.957049828571429
2,96031,6448,6451,281.49918,10,"LINESTRING (83844.5390625 449272.65625, 83635.78125 449461.5)",1200.0,None,35.0,15,28.954201371428574
3,96032,6451,6448,281.49918,10,"LINESTRING (83844.5390625 449272.65625, 83635.78125 449461.5)",1200.0,None,35.0,15,28.954201371428574
4,96091,6448,6453,263.29017,8,"LINESTRING (83844.5390625 449272.65625, 83926.625 449177.96875, 83970.78125 449047.25)",1800.0,None,50.0,15,18.95689224
5,96092,6453,6448,263.29017,8,"LINESTRING (83844.5390625 449272.65625, 83926.625 449177.96875, 83970.78125 449047.25)",1800.0,None,50.0,15,18.95689224
6,96161,6454,6455,170.08486,10,"LINESTRING (84155.3046875 449187.25, 84221.5234375 449239.375, 84292.078125 449288.21875)",1200.0,None,35.0,15,17.494442742857142
7,96162,6455,6454,170.08486,10,"LINESTRING (84155.3046875 449187.25, 84221.5234375 449239.375, 84292.078125 449288.21875)",1200.0,None,35.0,15,17.494442742857142
8,96191,6453,6454,231.6424,10,"LINESTRING (83970.78125 449047.25, 84066.3046875 449117.8125, 84155.3046875 449187.25)",1200.0,None,35.0,15,23.82607542857143
9,96192,6454,6453,231.6424,10,"LINESTRING (83970.78125 449047.25, 84066.3046875 449117.8125, 84155.3046875 449187.25)",1200.0,None,35.0,15,23.82607542857143
10,96271,6449,6457,310.87145,9,"LINESTRING (84131.1875 449717.78125, 84228.3515625 449612.40625, 84349.4140625 449496.59375)",3400.0,None,50.0,15,22.3827444
11,96272,6457,6449,310.87145,9,"LINESTRING (84131.1875 449717.78125, 84228.3515625 449612.40625, 84349.4140625 449496.59375)",3400.0,None,50.0,15,22.3827444
12,96301,6455,6458,206.4597,10,"LINESTRING (84292.078125 449288.21875, 84378.46875 449330.84375, 84441.2109375 449368.28125, 84465.421875 449396.34375)",1200.0,None,35.0,15,21.235854857142854
13,96302,6458,6455,206.4597,10,"LINESTRING (84292.078125 449288.21875, 84378.46875 449330.84375, 84441.2109375 449368.28125, 84465.421875 449396.34375)",1200.0,None,35.0,15,21.235854857142854
14,96311,6457,6458,153.32279,9,"LINESTRING (84349.4140625 449496.59375, 84465.421875 449396.34375)",3400.0,None,50.0,15,11.03924088
15,96312,6458,6457,153.32279,9,"LINESTRING (84349.4140625 449496.59375, 84465.421875 449396.34375)",3400.0,None,50.0,15,11.03924088
16,96372,6460,6457,170.18133,5,"LINESTRING (84349.4140625 449496.59375, 84378.046875 449528.4375, 84399.28125 449559.75, 84401.5859375 449604.65625, 84395.3828125 449648.78125)",2200.0,None,70.0,15,8.752182685714285
17,96412,6461,6459,342.01074,5,"LINESTRING (84369.3046875 449733.65625, 84496.6796875 449579.53125, 84593.859375 449475.90625)",2200.0,None,70.0,15,17.58912377142857
18,96421,5001,6458,43.81157,9,"LINESTRING (84508.53125 449404.15625, 84465.421875 449396.34375)",3400.0,None,50.0,15,3.1544330400000002
19,96422,6458,5001,43.81157,9,"LINESTRING (84508.53125 449404.15625, 84465.421875 449396.34375)",3400.0,None,50.0,15,3.1544330400000002
20,96431,5001,6461,111.48807,9,"LINESTRING (84508.53125 449404.15625, 84548.9765625 449438.6875, 84593.859375 449475.90625)",3400.0,None,50.0,15,8.02714104
21,96432,6461,5001,111.48807,9,"LINESTRING (84508.53125 449404.15625, 84548.9765625 449438.6875, 84593.859375 449475.90625)",3400.0,None,50.0,15,8.02714104
22,96452,6462,6459,624.38887,3,"LINESTRING (84369.3046875 449733.65625, 84701.84375 449205.1875)",7000.0,None,100.0,15,22.477999320000002
23,96462,6462,6461,291.46056999999996,5,"LINESTRING (84593.859375 449475.90625, 84701.84375 449205.1875)",2200.0,None,70.0,15,14.989400742857141
24,96491,6460,6463,385.77142,3,"LINESTRING (84395.3828125 449648.78125, 84603.8984375 449324.21875)",7000.0,None,100.0,15,13.887771119999998
25,96521,6449,6464,289.51758,8,"LINESTRING (84131.1875 449717.78125, 84047.859375 449677.15625, 84009.1796875 449639.40625, 83957.9296875 449506.15625)",1800.0,None,50.0,15,20.84526576
26,96522,6464,6449,289.51758,8,"LINESTRING (84131.1875 449717.78125, 84047.859375 449677.15625, 84009.1796875 449639.40625, 83957.9296875 449506.15625)",1800.0,None,50.0,15,20.84526576
27,96531,6448,6464,260.05298,8,"LINESTRING (83844.5390625 449272.65625, 83910.1171875 449389.6875, 83957.9296875 449506.15625)",1800.0,None,50.0,15,18.723814559999997
28,96532,6464,6448,260.05298,8,"LINESTRING (83844.5390625 449272.65625, 83910.1171875 449389.6875, 83957.9296875 449506.15625)",1800.0,None,50.0,15,18.723814559999997
29,96561,6454,6465,101.84803000000001,10,"LINESTRING (84155.3046875 449187.25, 84205.8203125 449098.8125)",1200.0,None,35.0,15,10.475797371428571
30,96562,6465,6454,101.84803000000001,10,"LINESTRING (84155.3046875 449187.25, 84205.8203125 449098.8125)",1200.0,None,35.0,15,10.475797371428571
31,96591,6465,6466,302.79768,10,"LINESTRING (84205.8203125 449098.8125, 84018.03125 448949.28125, 84047.3046875 448893.78125)",1200.0,None,35.0,15,31.14490422857143
32,96592,6466,6465,302.79768,10,"LINESTRING (84205.8203125 449098.8125, 84018.03125 448949.28125, 84047.3046875 448893.78125)",1200.0,None,35.0,15,31.14490422857143
33,96621,6455,6467,423.03246,10,"LINESTRING (84292.078125 449288.21875, 84339.8203125 449214.21875, 84315.4765625 449191.5, 84324.40625 449076.28125, 84367.9609375 448895.34375)",1200.0,None,35.0,15,43.511910171428575
34,96622,6467,6455,423.03246,10,"LINESTRING (84292.078125 449288.21875, 84339.8203125 449214.21875, 84315.4765625 449191.5, 84324.40625 449076.28125, 84367.9609375 448895.34375)",1200.0,None,35.0,15,43.511910171428575
35,96641,6465,6468,261.69449,10,"LINESTRING (84205.8203125 449098.8125, 84256.84375 449027.4375, 84254.375 448994.625, 84329.90625 448875.5)",1200.0,None,35.0,15,26.917147542857144
