element,id,geometry,leisure,name,seamark:harbour:category,seamark:type,source,wheelchair,check_date,sport,addr:city,addr:housenumber,addr:postcode,addr:street,phone,source:date,surface,natural,leaf_cycle,leaf_type,covered,fee,indoor,fixme,alt_name,highway,lit,landuse,loc_ref,access,shade,name:etymology:wikidata,wikidata,website,layer,check_date:opening_hours,dog,opening_hours,wetland,note,operator,operator:wikidata,wikipedia,construction,bicycle,tracktype,hoops,water,landcover,garden:type,genus,species,charge,email,official_name,old_name,tourism,wikimedia_commons,description,start_date,source:name,barrier,level,levels,access:conditional,foot:conditional,seasonal,vehicle,foot,residential,disused:highway,heritage,heritage:operator,ref:rce,horse,trail_visibility,bridge,motor_vehicle,check_date:surface,intermittent,ele,area,canoe,barrier:material,historic,ref:heritage,service,maxweight:signed,opening_date,usage,informal,building:levels,building:part,type,name:en,name:nl
relation,240506,"POLYGON ((4.3321734 52.0107083, 4.3322016 52.010719, 4.3322991 52.01067, 4.3323874 52.0106543, 4.3324821 52.0106511, 4.3324983 52.0107108, 4.332497 52.0107579, 4.3324536 52.0108424, 4.3324757 52.0108539, 4.3325003 52.0108672, 4.3329421 52.0105448, 4.3335226 52.0101346, 4.3335843 52.0100896, 4.333886 52.0098746, 4.3339914 52.0097911, 4.3337778 52.0096886, 4.3337136 52.0096562, 4.3335028 52.0095548, 4.3334301 52.0096069, 4.3330849 52.009858, 4.3328791 52.0100296, 4.3327309 52.0101682, 4.3323655 52.010505, 4.3322543 52.0105992, 4.3321418 52.0106945, 4.3321734 52.0107083), (4.333011 52.0103012, 4.3329886 52.0103184, 4.3329384 52.0103511, 4.3329032 52.0103332, 4.332859 52.0103123, 4.3328958 52.0102793, 4.332918 52.0102554, 4.3327996 52.0102188, 4.3328736 52.0101441, 4.3329483 52.0100697, 4.333025 52.0099994, 4.3331414 52.0099001, 4.3332506 52.0098228, 4.3333244 52.0097726, 4.3333854 52.0097337, 4.3335628 52.0096264, 4.3336469 52.009689, 4.3337404 52.0097347, 4.3338584 52.0097714, 4.3338195 52.0098107, 4.3337031 52.0099272, 4.3335181 52.0100893, 4.3334153 52.0101621, 4.3333338 52.0102175, 4.3332155 52.0102915, 4.333095 52.0103642, 4.333011 52.0103012))",,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,358999,"POLYGON ((4.3902902 52.0132562, 4.3901716 52.0131956, 4.3900071 52.0131229, 4.3898053 52.0130614, 4.3896858 52.0130404, 4.3896307 52.0130256, 4.3895842 52.0130452, 4.3894738 52.0130302, 4.3893825 52.0129867, 4.389282 52.0129345, 4.3891905 52.0128966, 4.3891264 52.0128789, 4.3890344 52.0128541, 4.3888796 52.0128651, 4.3887226 52.0129752, 4.3886 52.0130521, 4.3885015 52.013081, 4.3883536 52.0130941, 4.3882393 52.0130858, 4.3880958 52.0130829, 4.388 52.0130975, 4.3878642 52.0131405, 4.3877504 52.0131994, 4.3876857 52.0132602, 4.3876812 52.0133407, 4.3876876 52.0134062, 4.3876973 52.013458, 4.3876639 52.0134761, 4.3873532 52.0134572, 4.3873678 52.013505, 4.3873625 52.0135392, 4.3873524 52.0135759, 4.3873698 52.0136247, 4.3874334 52.0136707, 4.3875294 52.0137114, 4.3875977 52.0137547, 4.3876477 52.0137894, 4.3877441 52.0138074, 4.3878551 52.0137768, 4.3879472 52.0137979, 4.3879931 52.0138207, 4.3882069 52.0139048, 4.3882584 52.0139255, 4.3883472 52.0139498, 4.3883869 52.0139608, 4.3885112 52.0139762, 4.3886359 52.0139742, 4.3887658 52.0139385, 4.3888682 52.0138995, 4.3889481 52.0138375, 4.3889865 52.0137693, 4.3889882 52.0136952, 4.3889572 52.0136325, 4.3889172 52.0135665, 4.3889232 52.0135039, 4.3889338 52.0134413, 4.3889909 52.0133677, 4.3890569 52.0133028, 4.3891126 52.0132875, 4.3891718 52.013291, 4.3892958 52.0133148, 4.3893826 52.0133582, 4.3894645 52.0134129, 4.389537 52.0134733, 4.3895849 52.013517, 4.389678 52.0135407, 4.3897617 52.01351, 4.3898647 52.0134454, 4.3899608 52.0133363, 4.3900537 52.0133084, 4.39016 52.0133037, 4.390257 52.0132958, 4.390272 52.0132782, 4.3902902 52.0132562), (4.3878228 52.0135915, 4.3878766 52.013663, 4.3878716 52.0136801, 4.3878207 52.0136855, 4.3877376 52.0136848, 4.3876226 52.0136695, 4.3875128 52.0136287, 4.3874445 52.0135854, 4.3874314 52.0135539, 4.3874642 52.0135314, 4.3875012 52.0135233, 4.387575 52.0135267, 4.3876813 52.013522, 4.3877786 52.0135357, 4.3878228 52.0135915))",,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,359032,"POLYGON ((4.3784929 52.0154096, 4.3785132 52.0153558, 4.3785285 52.0152512, 4.3785058 52.0150737, 4.3785067 52.0149994, 4.3785275 52.0148877, 4.378564 52.014842, 4.3786173 52.0147919, 4.378724 52.0147548, 4.3788202 52.0147417, 4.3788993 52.0147362, 4.3790196 52.01474, 4.3791333 52.014734, 4.3792309 52.0147215, 4.3793124 52.0146969, 4.3793758 52.0146909, 4.3794335 52.0146822, 4.3795495 52.014676, 4.3796494 52.014683, 4.3797344 52.014709, 4.3797922 52.0147284, 4.3798396 52.0147772, 4.3798579 52.0148399, 4.3798445 52.0149129, 4.3797822 52.0149967, 4.3797231 52.01506, 4.3796446 52.0151262, 4.3796053 52.0151684, 4.3796189 52.0151839, 4.3797114 52.0151738, 4.3797655 52.0151247, 4.3798076 52.0150779, 4.3799007 52.0149685, 4.3799432 52.0148835, 4.3799366 52.0147972, 4.3798893 52.0147046, 4.3797934 52.0146623, 4.3797576 52.014652, 4.3796467 52.0146305, 4.3795637 52.0146248, 4.3794701 52.0146237, 4.3793733 52.0146336, 4.3792948 52.0146465, 4.3792207 52.0146604, 4.3791359 52.0146595, 4.3789966 52.0146312, 4.3788992 52.0146068, 4.3788143 52.014601, 4.3787351 52.0146004, 4.3786615 52.014619, 4.3785945 52.0146434, 4.3785106 52.0146863, 4.3784606 52.0147438, 4.3784182 52.0148384, 4.3784012 52.0149418, 4.3784294 52.0150091, 4.3784284 52.0150503, 4.3784521 52.0151136, 4.3784361 52.015178, 4.3784587 52.01529, 4.3784283 52.015365, 4.3783616 52.0154167, 4.3783058 52.0154258, 4.378231 52.0154107, 4.378166 52.0153916, 4.3781212 52.0153544, 4.3780698 52.0153015, 4.3780321 52.015282, 4.3779724 52.0152655, 4.3779205 52.0152701, 4.3778727 52.0152841, 4.3778 52.0153135, 4.3777365 52.0153445, 4.377716 52.0153844, 4.3776853 52.0154349, 4.3776661 52.0154792, 4.3776656 52.0155008, 4.3776646 52.0155432, 4.3776771 52.0155987, 4.3776836 52.0156567, 4.3776709 52.0156914, 4.3776261 52.0157673, 4.3775517 52.0158386, 4.3774876 52.0158668, 4.3774003 52.0158798, 4.3772748 52.0158762, 4.3771674 52.0158529, 4.3770556 52.0158189, 4.377037 52.0158187, 4.3769982 52.0158184, 4.3769543 52.0158315, 4.3769182 52.0158599, 4.3768758 52.0159032, 4.3767897 52.0158643, 4.3767835 52.0158413, 4.3769289 52.015694, 4.3769099 52.0156758, 4.3768725 52.0156648, 4.3766928 52.0158208, 4.3766742 52.0158528, 4.3766875 52.0158805, 4.3767036 52.0158923, 4.3767159 52.0159036, 4.3770481 52.0160399, 4.3770649 52.016035, 4.3770756 52.0160196, 4.3770909 52.0159981, 4.3769949 52.0159554, 4.3769637 52.0159444, 4.3769618 52.0159213, 4.3770185 52.0158894, 4.377046 52.0158812, 4.377113 52.015889, 4.3772088 52.015918, 4.3772835 52.0159379, 4.3773833 52.0159422, 4.3774591 52.0159263, 4.3775382 52.0159068, 4.3776278 52.0158645, 4.3776838 52.0158026, 4.3777311 52.0157242, 4.3778124 52.015647, 4.3778845 52.0155971, 4.3779235 52.0155788, 4.3779569 52.0155809, 4.3784582 52.0154486, 4.3784929 52.0154096), (4.37782 52.0155527, 4.3777927 52.0155525, 4.3777741 52.0155307, 4.3777844 52.0154971, 4.3777947 52.0154634, 4.3778451 52.0154032, 4.3779064 52.0153498, 4.3779369 52.0153315, 4.3779668 52.0153318, 4.3779993 52.0153439, 4.3780438 52.0154235, 4.3780459 52.0154521, 4.3780236 52.0154772, 4.3778903 52.0155266, 4.37782 52.0155527))",,,,,3dShapes,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,1853849,"POLYGON ((4.3940531 51.9776645, 4.3939129 51.9776468, 4.3938613 51.9776389, 4.3938148 51.9776372, 4.3938114 51.9776242, 4.3938178 51.9776062, 4.3938311 51.977601, 4.3938139 51.9775835, 4.3934077 51.9777941, 4.3932995 51.9778534, 4.3931722 51.977929, 4.3932186 51.9779254, 4.3933045 51.9779395, 4.3935311 51.9779773, 4.3936665 51.9779996, 4.3940265 51.9780662, 4.3940684 51.9779613, 4.3941828 51.9776987, 4.3940531 51.9776645), (4.3938656 51.977825, 4.3938896 51.9778787, 4.3938344 51.9779464, 4.3936945 51.9779452, 4.3936098 51.9778786, 4.3937308 51.9778079, 4.3938047 51.9778172, 4.3938656 51.977825))",,,,,3dShapes,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,1853874,"POLYGON ((4.3810585 51.9852136, 4.3811624 51.9850222, 4.3812067 51.9850057, 4.3812671 51.9849223, 4.3813737 51.9847819, 4.3814052 51.9847249, 4.3813891 51.984696, 4.3813562 51.9846741, 4.3804396 51.9844304, 4.3801405 51.9843515, 4.3798113 51.9842652, 4.3797449 51.9842656, 4.3796846 51.9842945, 4.3795407 51.9844728, 4.379296 51.9848481, 4.3793184 51.9848531, 4.3793027 51.9848803, 4.3793074 51.9849047, 4.3793238 51.9849322, 4.3793654 51.9849497, 4.3793573 51.9849617, 4.3795451 51.9850086, 4.3797889 51.9846421, 4.3800164 51.9847016, 4.3800749 51.9846176, 4.3811744 51.9849085, 4.3809677 51.985205, 4.381045 51.9852267, 4.3810585 51.9852136), (4.3795013 51.984725, 4.3794722 51.9847113, 4.3797529 51.984316, 4.3797892 51.9843065, 4.3801009 51.9843954, 4.3800916 51.9844141, 4.3800808 51.9844325, 4.3797959 51.9843581, 4.3796619 51.9845219, 4.3795335 51.9847319, 4.3795214 51.9847319, 4.3795013 51.984725), (4.3812214 51.9846914, 4.3812805 51.9847071, 4.381257 51.9847364, 4.3812342 51.9847406, 4.380907 51.9846518, 4.3803826 51.9845109, 4.3803918 51.9844875, 4.3804061 51.9844746, 4.3804758 51.9844936, 4.3812214 51.9846914), (4.3793989 51.9848128, 4.3794116 51.9848062, 4.3794405 51.9848141, 4.379466 51.9848215, 4.3794653 51.9848326, 4.3793868 51.9849231, 4.3793647 51.9849177, 4.3793479 51.9849124, 4.3793493 51.9849058, 4.379354 51.984883, 4.3793989 51.9848128))",,,,,3dShapes,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,1853883,"POLYGON ((4.3837178 51.9819709, 4.3837784 51.9819739, 4.3840673 51.9813287, 4.3840814 51.9812229, 4.384072 51.9811925, 4.3840204 51.981188, 4.3840283 51.9812114, 4.3839851 51.9812061, 4.3820592 51.9809028, 4.3818386 51.9813349, 4.3819585 51.981346, 4.3838455 51.9816667, 4.3839899 51.9813749, 4.3840183 51.9813802, 4.3839718 51.9814804, 4.3838807 51.9817008, 4.3837733 51.9819509, 4.383752 51.981947, 4.3837178 51.9819709), (4.3821262 51.9809753, 4.3839002 51.9812545, 4.3837492 51.9815462, 4.3820098 51.9812706, 4.3821262 51.9809753))",,,,,3dShapes,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,1853884,"POLYGON ((4.3819586 51.9813717, 4.3819585 51.981346, 4.3818386 51.9813349, 4.3816973 51.9816236, 4.3816938 51.9816412, 4.3816787 51.9816824, 4.3816754 51.9817183, 4.3816925 51.9817225, 4.3817123 51.9817064, 4.3817451 51.9816821, 4.3818328 51.9816543, 4.3837178 51.9819709, 4.383752 51.981947, 4.3838342 51.9817385, 4.3838392 51.9816934, 4.3819586 51.9813717), (4.3818515 51.9816204, 4.3819537 51.9814176, 4.3837014 51.9817042, 4.3836319 51.9818994, 4.3818515 51.9816204))",,,,,3dShapes,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,1853887,"POLYGON ((4.3795493 51.9923855, 4.379634 51.9923975, 4.3797255 51.9924161, 4.3797349 51.9924022, 4.3799298 51.9924471, 4.3799438 51.9924248, 4.382404 51.9930079, 4.3824771 51.9930251, 4.3830435 51.993158, 4.3830226 51.9931917, 4.3830212 51.9931952, 4.3830555 51.993204, 4.3832293 51.9929368, 4.3831929 51.9929155, 4.3831175 51.9928921, 4.3829354 51.9928349, 4.3828958 51.9928415, 4.3817587 51.9925385, 4.3805795 51.9922254, 4.3805848 51.9922183, 4.3805663 51.9921959, 4.3805605 51.9921888, 4.3798257 51.9919875, 4.3795493 51.9923855), (4.3799373 51.9922265, 4.3799319 51.9922113, 4.3799329 51.9921992, 4.3799381 51.9921878, 4.3799472 51.9921774, 4.3799598 51.9921686, 4.3799754 51.9921614, 4.379993 51.9921568, 4.3800119 51.9921544, 4.3800311 51.9921548, 4.3800497 51.9921578, 4.380072 51.9921656, 4.3800858 51.9921739, 4.3800962 51.9921838, 4.380103 51.9921951, 4.3801055 51.9922066, 4.3801024 51.9922223, 4.380092 51.9922368, 4.38007 51.9922512, 4.3800475 51.9922586, 4.3800223 51.9922615, 4.3799907 51.9922587, 4.379968 51.9922515, 4.3799459 51.9922373, 4.3799373 51.9922265))",,,,,3dShapes,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,1853888,"POLYGON ((4.3833622 51.9933434, 4.3830451 51.9938882, 4.3829644 51.9940212, 4.3830183 51.9940371, 4.3832355 51.9940873, 4.3833891 51.9940498, 4.3834414 51.9940851, 4.383513 51.9940897, 4.3835448 51.9940646, 4.3836513 51.993904, 4.3836962 51.9938505, 4.3837559 51.9938277, 4.3838184 51.9938246, 4.3838775 51.9938287, 4.3838969 51.9937963, 4.3835615 51.9937094, 4.3836333 51.9935986, 4.3837445 51.9934394, 4.3833622 51.9933434), (4.3834961 51.9935241, 4.3835518 51.9935439, 4.3835574 51.993569, 4.3832868 51.9939557, 4.383229 51.9940322, 4.3831822 51.9940318, 4.3831512 51.994022, 4.3831393 51.9939988, 4.3831459 51.9939795, 4.3833716 51.9936561, 4.3834711 51.9935239, 4.3834961 51.9935241))",,,,,3dShapes,,,,,,,,,,,,,broadleaved,,,,,,,,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
relation,1853894,"POLYGON ((4.3688693 51.992869, 4.3689227 51.9927313, 4.3676476 51.9925212, 4.3675076 51.9928714, 4.3687743 51.993078, 4.3688318 51.9929396, 4.3694786 51.9930489, 4.3694895 51.993035, 4.3695044 51.9930167, 4.3695191 51.9929981, 4.3695339 51.9929801, 4.3688693 51.992869), (4.367916 51.9927705, 4.3679055 51.9927961, 4.3678281 51.9927842, 4.3677633 51.9927743, 4.3678 51.9926884, 4.3679403 51.9927109, 4.3679296 51.9927372, 4.3679613 51.9927425, 4.3679536 51.9927591, 4.3679468 51.9927756, 4.367916 51.9927705), (4.368644 51.9929161, 4.368505 51.9928937, 4.3685164 51.9928673, 4.368486 51.9928625, 4.368493 51.9928456, 4.3684997 51.9928295, 4.3685305 51.9928344, 4.3685415 51.9928089, 4.3686805 51.9928306, 4.368644 51.9929161))",,,,,3dShapes,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
