id,a_node,b_node,type_car,type_bike,speed_car,speed_bike,green_overlap_percentage,slope
1,1,2,primary,None,20,15,0,0
2,2,1,primary,None,20,15,0,0
3,2,3,primary,None,20,15,0,0
4,3,2,primary,None,20,15,0,0
5,3,4,primary,None,20,15,0,0
6,4,3,primary,None,20,15,0,0
7,4,5,primary,None,20,15,0,0
8,5,4,primary,None,20,15,0,0
9,2,6,primary,None,20,15,0,0
10,4,8,primary,None,20,15,0,0
11,8,4,primary,None,20,15,0,0
12,7,3,primary,None,20,15,0,0
13,9,8,primary,None,20,15,0,0
14,8,9,primary,None,20,15,0,0
15,4,7,primary,None,20,15,0,0
16,7,4,primary,None,20,15,0,0
17,9,11,primary,None,20,15,0,0
18,11,9,primary,None,20,15,0,0
19,11,10,primary,None,20,15,0,0
20,10,11,primary,None,20,15,0,0
21,11,12,primary,None,20,15,0,0
22,12,11,primary,None,20,15,0,0
23,11,7,primary,None,20,15,0,0
24,7,11,primary,None,20,15,0,0
25,7,3,primary,None,20,15,0,0
26,3,7,primary,None,20,15,0,0
27,13,12,primary,None,20,15,0,0
28,12,13,primary,None,20,15,0,0
29,12,14,primary,None,20,15,0,0
30,14,12,primary,None,20,15,0,0
31,13,14,primary,None,20,15,0,0
32,14,13,primary,None,20,15,0,0
33,13,6,primary,None,20,15,0,0
34,6,13,primary,None,20,15,0,0
35,13,2,primary,None,20,15,0,0
36,2,13,primary,None,20,15,0,0
37,2,6,primary,None,20,15,0,0
38,6,2,primary,None,20,15,0,0
40,3,6,primary,None,20,15,0,0
41,12,7,primary,None,20,15,0,0
42,12,7,primary,None,20,15,0,0
39,6,7,primary,None,20,15,0,0
43,12,6,primary,None,20,15,0,0
