id,a_node,b_node,type_car,type_bike,speed_car,speed_bike,green_overlap_percentage,slope
1,1,2,primary,None,20,15,0,0
2,2,1,primary,None,20,15,0,0
3,2,3,primary,None,20,15,0,0
4,3,2,primary,None,20,15,0,0
5,3,4,primary,None,20,15,0,0
6,4,3,primary,None,20,15,0,0
7,4,5,primary,None,20,15,0,0
8,5,4,primary,None,20,15,0,0
9,5,6,primary,None,20,15,0,0
10,6,5,primary,None,20,15,0,0
11,7,6,primary,None,20,15,0,0
12,6,7,primary,None,20,15,0,0
13,7,8,primary,None,20,15,0,0
14,8,7,primary,None,20,15,0,0
15,9,8,primary,None,20,15,0,0
16,8,9,primary,None,20,15,0,0
17,10,9,primary,None,20,15,0,0
18,9,10,primary,None,20,15,0,0
19,11,10,primary,None,20,15,0,0
20,10,11,primary,None,20,15,0,0
21,11,12,primary,None,20,15,0,0
22,12,11,primary,None,20,15,0,0
23,12,1,primary,None,20,15,0,0
24,1,12,primary,None,20,15,0,0
25,12,13,primary,None,20,15,0,0
26,13,12,primary,None,20,15,0,0
27,1,13,primary,None,20,15,0,0
28,13,1,primary,None,20,15,0,0
29,2,13,primary,None,20,15,0,0
30,13,2,primary,None,20,15,0,0
31,3,13,primary,None,20,15,0,0
32,13,3,primary,None,20,15,0,0
33,4,13,primary,None,20,15,0,0
34,13,4,primary,None,20,15,0,0
35,5,13,primary,None,20,15,0,0
36,13,5,primary,None,20,15,0,0
37,6,13,primary,None,20,15,0,0
38,13,6,primary,None,20,15,0,0
39,7,13,primary,None,20,15,0,0
40,13,7,primary,None,20,15,0,0
41,13,8,primary,None,20,15,0,0
42,8,13,primary,None,20,15,0,0
43,9,13,primary,None,20,15,0,0
44,13,9,primary,None,20,15,0,0
45,10,13,primary,None,20,15,0,0
46,13,10,primary,None,20,15,0,0
47,11,13,primary,None,20,15,0,0
48,13,11,primary,None,20,15,0,0
