id,a_node,b_node,type_car,type_bike,speed_car,speed_bike,green_overlap_percentage,slope
1,1,2,primary,None,20,15,0,0
2,2,1,primary,None,20,15,0,0
3,2,3,primary,None,20,15,0,0
4,3,2,primary,None,20,15,0,0
5,3,4,primary,None,20,15,0,0
6,4,3,primary,None,20,15,0,0
7,1,5,primary,None,20,15,0,0
8,5,1,primary,None,20,15,0,0
9,2,6,primary,None,20,15,0,0
10,6,2,primary,None,20,15,0,0
11,1,6,primary,None,20,15,0,0
12,6,1,primary,None,20,15,0,0
13,3,8,primary,None,20,15,0,0
14,8,3,primary,None,20,15,0,0
15,4,8,primary,None,20,15,0,0
16,8,4,primary,None,20,15,0,0
17,4,9,primary,None,20,15,0,0
18,9,4,primary,None,20,15,0,0
19,5,6,primary,None,20,15,0,0
20,6,5,primary,None,20,15,0,0
21,7,6,primary,None,20,15,0,0
22,6,7,primary,None,20,15,0,0
23,7,8,primary,None,20,15,0,0
24,8,7,primary,None,20,15,0,0
25,8,9,primary,None,20,15,0,0
26,9,8,primary,None,20,15,0,0
27,5,11,primary,None,20,15,0,0
28,11,5,primary,None,20,15,0,0
29,5,10,primary,None,20,15,0,0
30,10,5,primary,None,20,15,0,0
31,6,11,primary,None,20,15,0,0
32,11,6,primary,None,20,15,0,0
33,6,12,primary,None,20,15,0,0
34,12,6,primary,None,20,15,0,0
35,8,12,primary,None,20,15,0,0
36,12,8,primary,None,20,15,0,0
37,8,13,primary,None,20,15,0,0
38,13,8,primary,None,20,15,0,0
39,9,13,primary,None,20,15,0,0
40,13,9,primary,None,20,15,0,0
41,13,14,primary,None,20,15,0,0
42,14,13,primary,None,20,15,0,0
43,9,14,primary,None,20,15,0,0
44,14,9,primary,None,20,15,0,0
45,11,10,primary,None,20,15,0,0
46,10,11,primary,None,20,15,0,0
47,11,12,primary,None,20,15,0,0
48,12,11,primary,None,20,15,0,0
49,12,13,primary,None,20,15,0,0
50,13,12,primary,None,20,15,0,0
51,10,15,primary,None,20,15,0,0
52,15,10,primary,None,20,15,0,0
53,15,11,primary,None,20,15,0,0
54,11,15,primary,None,20,15,0,0
55,11,16,primary,None,20,15,0,0
56,16,11,primary,None,20,15,0,0
57,16,12,primary,None,20,15,0,0
58,12,16,primary,None,20,15,0,0
59,12,17,primary,None,20,15,0,0
60,17,12,primary,None,20,15,0,0
61,12,18,primary,None,20,15,0,0
62,18,12,primary,None,20,15,0,0
63,13,18,primary,None,20,15,0,0
64,18,13,primary,None,20,15,0,0
65,19,18,primary,None,20,15,0,0
66,18,19,primary,None,20,15,0,0
67,13,19,primary,None,20,15,0,0
68,19,13,primary,None,20,15,0,0
69,19,14,primary,None,20,15,0,0
70,14,19,primary,None,20,15,0,0
71,15,16,primary,None,20,15,0,0
72,16,15,primary,None,20,15,0,0
73,16,17,primary,None,20,15,0,0
74,17,16,primary,None,20,15,0,0
75,17,18,primary,None,20,15,0,0
76,18,17,primary,None,20,15,0,0
77,15,20,primary,None,20,15,0,0
78,20,15,primary,None,20,15,0,0
19,16,20,primary,None,20,15,0,0
80,20,16,primary,None,20,15,0,0
81,16,21,primary,None,20,15,0,0
82,21,16,primary,None,20,15,0,0
83,21,20,primary,None,20,15,0,0
84,20,21,primary,None,20,15,0,0
85,21,22,primary,None,20,15,0,0
86,22,21,primary,None,20,15,0,0
87,18,22,primary,None,20,15,0,0
88,22,18,primary,None,20,15,0,0
89,22,23,primary,None,20,15,0,0
90,23,22,primary,None,20,15,0,0
91,18,23,primary,None,20,15,0,0
92,23,18,primary,None,20,15,0,0
93,19,23,primary,None,20,15,0,0
94,23,19,primary,None,20,15,0,0
95,7,12,primary,None,20,15,0,0
96,12,7,primary,None,20,15,0,0
