1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1098,1247,639,1646,0,0,459,424,0,0,1605,298,1228,1053,1269
1850,0,1396,108,1440,0,0,953,126,0,0,1800,863,1303,1609,1380
187,1580,0,278,1015,0,0,1595,940,0,0,780,707,1134,1165,1119
576,1451,1847,0,703,0,0,746,162,0,0,1449,197,1881,1242,864
162,1667,802,1903,0,0,0,977,1163,0,0,1988,449,113,292,1406
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,1662,1511,851,1670,0,0,0,287,0,0,1762,133,832,806,147
556,1762,1713,1684,1857,0,0,1234,0,0,0,1597,1926,261,1730,1383
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,1967,457,1348,468,0,0,581,884,0,0,0,1724,194,141,795
73,216,1565,957,1949,0,0,102,587,0,0,709,0,425,1777,1993
85,1817,941,387,274,0,0,29,648,0,0,596,57,0,1872,561
1335,1928,1685,1585,781,0,0,1440,1539,0,0,647,1434,859,0,1159
1508,1735,1068,176,1036,0,0,1147,726,0,0,367,1659,1284,1774,0
