,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,44.0,0.0,,,,,
1,0,43.0,1.0,89.42410690641015,10.575893093589858,[24],0.0,0.39999999999999986
2,1,42.0,2.0,89.42691808647362,10.573081913526376,[25],0.0,0.40909090909090895
3,2,41.0,3.0,89.42729586049025,10.572704139509751,[27],0.0,0.41818181818181804
4,3,40.0,4.0,89.42965460865871,10.570345391341304,[2],0.0,0.4272727272727272
5,4,39.0,5.0,89.44578252202022,10.554217477979776,[21],0.0,0.4363636363636363
6,5,38.0,6.0,89.44601119470823,10.553988805291773,[19],0.0,0.4454545454545453
7,6,37.0,7.0,89.47743305363153,10.52256694636848,[43],0.0,0.45454545454545436
8,7,36.0,8.0,89.49426935442808,10.505730645571917,[10],0.0,0.4636363636363635
9,8,35.0,9.0,89.52223929565707,10.477760704342924,[40],0.0,0.47272727272727266
10,9,34.0,10.0,89.55417291974554,10.44582708025446,[26],115.79982980898605,0.4818181818181817
11,10,33.0,11.0,89.55400147630256,10.44599852369744,[7],154.89931845177927,0.4909090909090908
12,11,32.0,12.0,89.57764860744281,10.422351392557184,[28],162.32042028597314,0.49999999999999983
13,12,31.0,13.0,89.57852919554873,10.421470804451275,[37],0.0,0.5090909090909089
14,13,30.0,14.0,89.59763390346214,10.402366096537866,[30],0.0,0.5181818181818181
15,14,29.0,15.0,89.6258444384464,10.374155561553602,[14],8.430452924211709e-172,0.5272727272727272
16,15,28.0,16.0,89.65108057768923,10.348919422310765,[29],6.775432796187782e-172,0.5363636363636363
17,16,27.0,17.0,89.66476512181214,10.335234878187864,[36],167.51127672153993,0.5454545454545453
18,17,26.0,18.0,89.68402769719023,10.315972302809753,[34],1.2567281741784483e-171,0.5545454545454545
19,18,25.0,19.0,89.71165439851076,10.288345601489231,[6],167.54040368168756,0.5636363636363636
20,19,24.0,20.0,89.72795493306567,10.272045066934325,[11],1.2568458226573058e-171,0.5727272727272726
21,20,23.0,21.0,89.75409116013104,10.245908839868974,[41],175.55898861614716,0.5818181818181818
22,21,22.0,22.0,89.76169016904386,10.23830983095614,[47],1.1942707524310952e-171,0.5909090909090908
23,22,21.0,23.0,89.78777662252392,10.212223377476082,[48],405.2018737939967,0.6
24,23,20.0,24.0,89.83713091862427,10.162869081375723,[44],397.34759105119394,0.6090909090909091
25,24,19.0,25.0,89.8857816503749,10.114218349625107,[42],389.5670169353262,0.6181818181818182
26,25,18.0,26.0,89.93801177362026,10.061988226379736,[39],381.42643824093176,0.6272727272727273
27,26,17.0,27.0,89.98656949191886,10.013430508081148,[32],373.01217476828697,0.6363636363636364
28,27,16.0,28.0,90.69317586652791,9.306824133472093,[8],354.81862883946843,0.6454545454545455
29,28,15.0,29.0,90.74126509522912,9.258734904770872,[13],346.8395375368967,0.6545454545454547
30,29,14.0,30.0,90.78935348414461,9.210646515855382,[16],338.954832447271,0.6636363636363637
31,30,13.0,31.0,90.83477998331485,9.165220016685161,[18],331.7262196807729,0.6727272727272727
32,31,12.0,32.0,91.00527103014761,8.9947289698524,[20],311.47041724760106,0.6818181818181819
33,32,11.0,33.0,91.0518368309964,8.948163169003607,[1],411.5618793873116,0.6909090909090909
34,33,10.0,34.0,91.10046097625806,8.899539023741939,[9],163.0986946520138,0.7000000000000001
35,34,9.0,35.0,91.10690404865099,8.893095951349004,[23],402.56906187097894,0.7090909090909091
36,35,8.0,36.0,91.15318272747687,8.846817272523113,[31],0.0,0.7181818181818183
37,36,7.0,37.0,91.85360318797356,8.146396812026438,[33],339.9427922448679,0.7272727272727273
38,37,6.0,38.0,91.89983715090867,8.100162849091332,[35],332.8407245450043,0.7363636363636363
39,38,5.0,39.0,91.94524614285173,8.054753857148263,[5],354.739136066361,0.7454545454545454
40,39,4.0,40.0,91.99087155754933,8.009128442450672,[12],347.38309963858137,0.7545454545454544
41,40,3.0,41.0,92.03882709770551,7.961172902294495,[22],339.758734456904,0.7636363636363636
42,41,2.0,42.0,92.08121130719292,7.918788692807084,[38],332.87361359792874,0.7727272727272726
43,42,1.0,43.0,92.12689246487105,7.873107535128954,[15],651.0211665367665,0.7818181818181816
44,43,0.0,44.0,92.21152661201857,7.7884733879814245,[17],637.4767395928643,0.7909090909090907
