,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,91.54947050892028,8.450529491079719,[1],0.0,0.3916666666666666
2,1,46.0,2.0,91.55183065355506,8.448169346444946,[25],0.0,0.3999999999999999
3,2,45.0,3.0,91.55315957354586,8.446840426454145,[19],0.0,0.40833333333333327
4,3,44.0,4.0,91.55738957294712,8.442610427052884,[26],0.0,0.4166666666666667
5,4,43.0,5.0,91.55940068774113,8.440599312258872,[20],0.0,0.425
6,5,42.0,6.0,91.56055455458466,8.439445445415341,[27],0.0,0.4333333333333333
7,6,41.0,7.0,91.56155060518701,8.43844939481298,[18],0.0,0.4416666666666666
8,7,40.0,8.0,91.56312724306555,8.436872756934436,[39],0.0,0.44999999999999996
9,8,39.0,9.0,91.56320645022772,8.436793549772263,[40],0.0,0.45833333333333326
10,9,38.0,10.0,91.56350102908517,8.436498970914828,[16],0.0,0.4666666666666666
11,10,37.0,11.0,91.56395418429625,8.436045815703759,[11],0.0,0.4749999999999999
12,11,36.0,12.0,91.56431839372881,8.435681606271194,[10],0.0,0.4833333333333332
13,12,35.0,13.0,91.56453162492821,8.435468375071782,[3],0.0,0.49166666666666664
14,13,34.0,14.0,91.56486535112496,8.435134648875037,[22],0.0,0.5
15,14,33.0,15.0,91.56531934278536,8.434680657214644,[42],0.0,0.5083333333333333
16,15,32.0,16.0,91.56484379659831,8.435156203401702,[8],0.0,0.5166666666666666
17,16,31.0,17.0,91.56503838474083,8.434961615259171,[9],0.0,0.5249999999999999
18,17,30.0,18.0,91.56579633295611,8.434203667043882,[13],0.0,0.5333333333333333
19,18,29.0,19.0,91.56541894764976,8.43458105235024,[30],7.035543984860268e-259,0.5416666666666666
20,19,28.0,20.0,91.5670253543951,8.432974645604894,[37],0.0,0.5541666666666667
21,20,27.0,21.0,91.56782171486549,8.432178285134512,[34],0.0,0.5625
22,21,26.0,22.0,91.56791770314912,8.432082296850881,[32],0.0,0.5708333333333333
23,22,25.0,23.0,91.56815468275269,8.43184531724731,[36],2.5080053101808992e-85,0.5791666666666666
24,23,24.0,24.0,91.56888391403213,8.431116085967865,[45],4.948833974755481e-259,0.5875
25,24,23.0,25.0,91.56915836021815,8.430841639781846,[43],4.666449397847493e-259,0.5958333333333333
26,25,22.0,26.0,91.56924112361487,8.430758876385127,[15],2.7342563529666157e-85,0.6041666666666666
27,26,21.0,27.0,91.56947564542827,8.43052435457173,[23],5.712561358165735e-259,0.6124999999999999
28,27,20.0,28.0,91.5698385262813,8.430161473718698,[28],124.53481223454007,0.6208333333333333
29,28,19.0,29.0,91.56994576495978,8.430054235040217,[14],1.0118461414055279e-171,0.6291666666666667
30,29,18.0,30.0,91.56986864836317,8.430131351636831,[41],143.6314817545953,0.6375000000000001
31,30,17.0,31.0,91.5697253308238,8.430274669176193,[47],9.856149087152818e-172,0.6458333333333334
32,31,16.0,32.0,91.56969247762189,8.430307522378115,[48],331.6224041780668,0.6541666666666667
33,32,15.0,33.0,91.61180180096787,8.388198199032134,[44],324.8580265230479,0.6625000000000001
34,33,14.0,34.0,91.65363670803602,8.346363291963979,[46],318.15453190291754,0.6708333333333334
35,34,13.0,35.0,91.6954232275324,8.304576772467605,[2],333.27326986236824,0.6791666666666667
36,35,12.0,36.0,91.73851780499199,8.26148219500801,[4],326.408206667248,0.6875
37,36,11.0,37.0,91.78078231804724,8.219217681952745,[6],319.6541755153285,0.6958333333333333
38,37,10.0,38.0,91.82245817735749,8.177541822642507,[5],341.0575140256396,0.7041666666666666
39,38,9.0,39.0,91.86577946273961,8.134220537260394,[12],334.12120274719706,0.7125
40,39,8.0,40.0,91.908663814436,8.091336185564,[17],210.67213338378153,0.7208333333333332
41,40,7.0,41.0,91.90825825427584,8.091741745724159,[24],0.0,0.7291666666666666
42,41,6.0,42.0,91.90775305322086,8.092246946779143,[38],327.25959858387586,0.7374999999999999
43,42,5.0,43.0,91.9500016631542,8.049998336845789,[7],342.8954496638899,0.7458333333333332
44,43,4.0,44.0,91.99374904874078,8.006250951259219,[21],335.8932997729766,0.7541666666666668
45,44,3.0,45.0,92.03636244682838,7.963637553171618,[35],329.01944412092143,0.7625000000000001
46,45,2.0,46.0,92.07863454991302,7.921365450086983,[29],642.842860552184,0.7708333333333334
47,46,1.0,47.0,92.20162391648479,7.798376083515206,[31],623.1479005620052,0.7833333333333333
48,47,0.0,48.0,92.28228189368264,7.717718106317362,[33],610.2865608313275,0.7916666666666666
