,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,46.0,0.0,,,,,
1,0,45.0,1.0,91.48133004315272,8.518669956847267,[2],0.0,0.3999999999999999
2,1,44.0,2.0,91.48167080406292,8.518329195937081,[43],0.0,0.40869565217391296
3,2,43.0,3.0,91.48145615110059,8.518543848899414,[27],0.0,0.417391304347826
4,3,42.0,4.0,91.48162804232996,8.51837195767004,[23],0.0,0.426086956521739
5,4,41.0,5.0,91.48152328512833,8.518476714871673,[40],0.0,0.4347826086956521
6,5,40.0,6.0,91.48172876330158,8.518271236698427,[22],0.0,0.4434782608695651
7,6,39.0,7.0,91.48159914825523,8.51840085174477,[21],0.0,0.4521739130434782
8,7,38.0,8.0,91.48153295154788,8.51846704845212,[10],0.0,0.4608695652173912
9,8,37.0,9.0,91.48242227250375,8.517577727496228,[28],105.03188754681189,0.46956521739130425
10,9,36.0,10.0,91.48268189538959,8.517318104610414,[48],125.06696090028389,0.4782608695652173
11,10,35.0,11.0,91.48307379321538,8.516926206784616,[42],4.1211236558974783e-172,0.4869565217391304
12,11,34.0,12.0,91.48294352277591,8.517056477224076,[47],126.01393269899224,0.4956521739130435
13,12,33.0,13.0,91.48332286093445,8.516677139065552,[41],4.156866401112009e-172,0.5043478260869566
14,13,32.0,14.0,91.48388514715428,8.516114852845732,[24],125.99163286353422,0.5130434782608696
15,14,31.0,15.0,91.48346392342526,8.516536076574727,[44],139.0472320791107,0.5217391304347827
16,15,30.0,16.0,91.48336663402203,8.516633365977965,[39],1.0009166797201216e-171,0.5304347826086957
17,16,29.0,17.0,91.48345254280729,8.516547457192711,[6],139.0516559561021,0.5391304347826087
18,17,28.0,18.0,91.48357698451079,8.516423015489213,[11],1.0009200651659223e-171,0.5478260869565218
19,18,27.0,19.0,91.48384027229058,8.516159727709416,[14],144.67139736562973,0.5565217391304349
20,19,26.0,20.0,91.48378092381236,8.516219076187628,[19],9.870784017993063e-172,0.5652173913043479
21,20,25.0,21.0,91.48393247439564,8.516067525604356,[1],144.6719095271421,0.5739130434782609
22,21,24.0,22.0,91.48421569482123,8.51578430517876,[9],9.869891019505062e-172,0.5826086956521739
23,22,23.0,23.0,91.48441546022616,8.515584539773844,[36],337.6879325450441,0.5913043478260871
24,23,22.0,24.0,91.52752177288535,8.472478227114657,[34],330.8095562975962,0.6000000000000002
25,24,21.0,25.0,91.56933763596153,8.43066236403846,[4],324.0824516515165,0.6086956521739132
26,25,20.0,26.0,91.59011235832388,8.409887641676123,[32],320.75930742648126,0.6173913043478262
27,26,19.0,27.0,91.61063259510823,8.389367404891772,[30],317.45796636200384,0.6260869565217392
28,27,18.0,28.0,91.65116545457117,8.348834545428824,[37],310.9723443200181,0.6347826086956523
29,28,17.0,29.0,91.6908833196659,8.30911668033409,[18],337.7009606381422,0.6434782608695653
30,29,16.0,30.0,91.73385890258156,8.266141097418442,[20],330.82318635911,0.6521739130434784
31,30,15.0,31.0,91.77601529177434,8.223984708225645,[8],324.0653851113569,0.6608695652173914
32,31,14.0,32.0,91.81713839212466,8.182861607875333,[13],317.46602427531235,0.6695652173913045
33,32,13.0,33.0,91.85761197415898,8.142388025841027,[16],310.9727082559232,0.6782608695652175
34,33,12.0,34.0,91.89725751669707,8.102742483302922,[7],343.60903613887336,0.6869565217391305
35,34,11.0,35.0,91.94088523157642,8.059114768423587,[15],336.5923100006871,0.6956521739130435
36,35,10.0,36.0,91.98425848949243,8.015741510507565,[17],329.68745731986394,0.7043478260869567
37,36,9.0,37.0,91.98423527680573,8.015764723194268,[25],1.122568704707735e-171,0.7130434782608697
38,37,8.0,38.0,91.98467855062195,8.015321449378039,[33],329.6943433691365,0.7217391304347827
39,38,7.0,39.0,92.02656577520348,7.9734342247965175,[35],322.98286232264917,0.7304347826086957
40,39,6.0,40.0,92.06784197823488,7.932158021765128,[5],343.6680833116653,0.7391304347826086
41,40,5.0,41.0,92.11145824813337,7.888541751866626,[12],336.6507448606827,0.7478260869565218
42,41,4.0,42.0,92.15453611528929,7.845463884710719,[26],329.79265397048084,0.7565217391304347
43,42,3.0,43.0,92.19690753936277,7.803092460637229,[38],323.00909973406954,0.7652173913043477
44,43,2.0,44.0,92.23829546068582,7.761704539314186,[29],632.8160872047745,0.7739130434782607
45,44,1.0,45.0,92.31920137232801,7.680798627671994,[31],619.8384171180452,0.7826086956521737
46,45,0.0,46.0,92.35933643836893,7.640663561631064,[3],613.4157394900944,0.7913043478260867
