,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,46.0,0.0,,,,,
1,0,45.0,1.0,91.41518556408542,8.58481443591458,[2],0.0,0.39130434782608686
2,1,44.0,2.0,91.41527679124279,8.58472320875722,[26],0.0,0.3999999999999999
3,2,43.0,3.0,91.41542966180714,8.584570338192856,[43],0.0,0.40869565217391296
4,3,42.0,4.0,91.41532731497739,8.584672685022605,[40],0.0,0.417391304347826
5,4,41.0,5.0,91.4151694323598,8.584830567640205,[23],0.0,0.42608695652173906
6,5,40.0,6.0,91.41520109978907,8.584798900210929,[27],0.0,0.4347826086956521
7,6,39.0,7.0,91.41562107290756,8.584378927092448,[10],0.0,0.4434782608695652
8,7,38.0,8.0,91.41590892546948,8.584091074530525,[22],2.3378327041044737e-85,0.4521739130434782
9,8,37.0,9.0,91.41607031380184,8.583929686198159,[19],4.723081281775221e-259,0.4608695652173912
10,9,36.0,10.0,91.41606741551534,8.583932584484657,[15],4.5595654369156276e-259,0.46956521739130425
11,10,35.0,11.0,91.41615491383247,8.583845086167525,[44],2.741446389413552e-85,0.4782608695652173
12,11,34.0,12.0,91.41650762252618,8.583492377473814,[39],5.687678665708787e-259,0.4869565217391304
13,12,33.0,13.0,91.41700592900565,8.58299407099435,[1],3.388366897723323e-85,0.4956521739130434
14,13,32.0,14.0,91.41698294250916,8.583017057490844,[9],0.0,0.5043478260869564
15,14,31.0,15.0,91.4166482613986,8.5833517386014,[25],6.25368264780005e-259,0.5130434782608695
16,15,30.0,16.0,91.41709126369571,8.582908736304281,[6],137.18731449121825,0.5217391304347825
17,16,29.0,17.0,91.41745567268312,8.582544327316874,[11],1.0364282037237306e-171,0.5304347826086956
18,17,28.0,18.0,91.4178008372257,8.582199162774298,[36],137.56357738671713,0.5391304347826086
19,18,27.0,19.0,91.41822354925382,8.581776450746169,[34],1.0477384847623103e-171,0.5478260869565217
20,19,26.0,20.0,91.41902696459083,8.580973035409185,[5],139.58920420443135,0.5565217391304348
21,20,25.0,21.0,91.41901530002978,8.58098469997021,[12],1.176077150780192e-171,0.5652173913043478
22,21,24.0,22.0,91.41934372892176,8.580656271078253,[17],5.624280449171309e-172,0.5739130434782609
23,22,23.0,23.0,91.41892462828217,8.58107537171783,[24],0.0,0.5826086956521739
24,23,22.0,24.0,91.4186291897486,8.581370810251395,[41],143.80412238019133,0.591304347826087
25,24,21.0,25.0,91.41842252728912,8.58157747271087,[47],1.0280686700315755e-171,0.6
26,25,20.0,26.0,91.41835990176642,8.581640098233585,[8],337.6761717353402,0.6086956521739131
27,26,19.0,27.0,91.46104665209359,8.538953347906423,[13],330.82133734545386,0.6173913043478261
28,27,18.0,28.0,91.5028061325106,8.4971938674894,[16],324.0844455320739,0.6260869565217391
29,28,17.0,29.0,91.54449994446962,8.455500055530383,[18],317.4667816734142,0.6347826086956523
30,29,16.0,30.0,91.58554160355683,8.414458396443173,[20],310.9603332700527,0.6434782608695653
31,30,15.0,31.0,91.62570482098282,8.374295179017194,[30],341.16264794296745,0.6521739130434783
32,31,14.0,32.0,91.69057216110178,8.30942783889821,[32],330.81412897415765,0.6652173913043479
33,32,13.0,33.0,91.7117449136317,8.288255086368299,[4],327.4320817365786,0.6739130434782609
34,33,12.0,34.0,91.7327605705066,8.26723942949339,[37],324.07569479438337,0.6826086956521739
35,34,11.0,35.0,91.77327514902765,8.22672485097235,[42],317.46006912841284,0.6913043478260869
36,35,10.0,36.0,91.81456250456269,8.1854374954373,[48],310.9534370980681,0.7
37,36,9.0,37.0,91.85426134345806,8.145738656541937,[7],347.07923388858427,0.7086956521739131
38,37,8.0,38.0,91.89812214007235,8.10187785992765,[21],340.0213568583666,0.717391304347826
39,38,7.0,39.0,91.94117982939359,8.058820170606404,[35],333.1278900864449,0.7260869565217393
40,39,6.0,40.0,91.98339792117439,8.016602078825615,[14],347.17430877201025,0.7347826086956522
41,40,5.0,41.0,92.02764352673925,7.972356473260743,[28],340.10949130978736,0.7434782608695651
42,41,4.0,42.0,92.07100777098684,7.928992229013174,[38],333.1663950117244,0.7521739130434781
43,42,3.0,43.0,92.11323473083046,7.88676526916955,[29],652.7547185363262,0.7608695652173914
44,43,2.0,44.0,92.23764679199672,7.762353208003277,[31],632.8340590969597,0.7739130434782607
45,44,1.0,45.0,92.27795297083802,7.722047029161974,[3],626.364560372482,0.7826086956521737
46,45,0.0,46.0,92.31838563118772,7.681614368812268,[33],619.8970933849698,0.7913043478260869
