,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,48.51883758039613,51.48116241960386,[1],0.0,0.3916666666666666
2,1,46.0,2.0,48.50984746440958,51.49015253559042,[25],0.0,0.3999999999999999
3,2,45.0,3.0,48.50437968575334,51.49562031424666,[19],0.0,0.40833333333333327
4,3,44.0,4.0,48.50226655862763,51.497733441372375,[26],0.0,0.4166666666666667
5,4,43.0,5.0,48.50045719361166,51.499542806388334,[20],0.0,0.425
6,5,42.0,6.0,48.49839709483161,51.50160290516838,[27],0.0,0.4333333333333333
7,6,41.0,7.0,48.4932155697026,51.5067844302974,[18],0.0,0.4416666666666666
8,7,40.0,8.0,48.490862385515406,51.5091376144846,[39],0.0,0.44999999999999996
9,8,39.0,9.0,48.489811944891024,51.510188055108976,[40],0.0,0.45833333333333326
10,9,38.0,10.0,48.48744251553758,51.51255748446242,[16],0.0,0.4666666666666666
11,10,37.0,11.0,48.485059302303654,51.51494069769635,[11],0.0,0.4749999999999999
12,11,36.0,12.0,48.48281726030047,51.51718273969954,[10],0.0,0.4833333333333332
13,12,35.0,13.0,48.480065704064884,51.51993429593511,[3],0.0,0.49166666666666664
14,13,34.0,14.0,48.485666079959536,51.514333920040464,[22],0.0,0.5
15,14,33.0,15.0,48.48370879866628,51.51629120133372,[42],0.0,0.5083333333333333
16,15,32.0,16.0,48.481861016789644,51.51813898321036,[8],0.0,0.5166666666666666
17,16,31.0,17.0,48.48090360026854,51.51909639973146,[9],0.0,0.5249999999999999
18,17,30.0,18.0,48.480677065095186,51.51932293490481,[13],0.0,0.5333333333333333
19,18,29.0,19.0,48.480686999622485,51.51931300037751,[30],4.349675709047541e-258,0.5416666666666666
20,19,28.0,20.0,48.479129478607895,51.52087052139211,[37],0.0,0.5541666666666667
21,20,27.0,21.0,48.477933356990235,51.522066643009765,[34],0.0,0.5625
22,21,26.0,22.0,48.47572658194479,51.52427341805521,[32],0.0,0.5708333333333333
23,22,25.0,23.0,48.47723367773702,51.52276632226298,[36],1.5159373576986812e-84,0.5791666666666666
24,23,24.0,24.0,48.47549888984199,51.52450111015801,[45],2.9912451421748965e-258,0.5875
25,24,23.0,25.0,48.4759019247428,51.5240980752572,[43],2.82046387844751e-258,0.5958333333333333
26,25,22.0,26.0,48.480238189300714,51.51976181069928,[15],1.6499658773109367e-84,0.6041666666666666
27,26,21.0,27.0,48.47976921919036,51.52023078080964,[23],3.44731526313397e-258,0.6124999999999999
28,27,20.0,28.0,48.4814049522101,51.518595047789894,[28],752.3311512776376,0.6208333333333333
29,28,19.0,29.0,48.48110820186512,51.51889179813488,[14],6.112244223526448e-171,0.6291666666666667
30,29,18.0,30.0,48.48518924312974,51.514810756870254,[41],866.7714182938192,0.6375000000000001
31,30,17.0,31.0,48.482362582084214,51.517637417915786,[47],5.948755784768877e-171,0.6458333333333334
32,31,16.0,32.0,48.48699328841624,51.51300671158376,[48],2052.241548187798,0.6541666666666667
33,32,15.0,33.0,48.66963027831943,51.330369721680555,[44],2022.823796098338,0.6625000000000001
34,33,14.0,34.0,48.93031707956613,51.06968292043387,[46],1981.12436212674,0.6708333333333334
35,34,13.0,35.0,49.25943637922144,50.740563620778566,[5],2059.8684016519073,0.6791666666666667
36,35,12.0,36.0,49.471320049498715,50.528679950501285,[12],2025.9013065930733,0.6875
37,36,11.0,37.0,49.682647821119694,50.31735217888031,[17],1282.2171224924236,0.6958333333333333
38,37,10.0,38.0,49.68109017390272,50.31890982609728,[24],0.0,0.7041666666666666
39,38,9.0,39.0,49.67828527145475,50.32171472854525,[38],1991.9802008067088,0.7124999999999999
40,39,8.0,40.0,49.88711869000206,50.11288130999794,[2],2063.663796447123,0.7208333333333332
41,40,7.0,41.0,50.0855035131837,49.91449648681629,[4],2031.9486538636604,0.7291666666666666
42,41,6.0,42.0,50.35219963773957,49.64780036226043,[6],1989.2108638319996,0.7374999999999999
43,42,5.0,43.0,50.680659351471256,49.31934064852874,[7],2068.244054964023,0.7458333333333332
44,43,4.0,44.0,50.89301302240532,49.10698697759468,[21],2034.2525677949768,0.7541666666666668
45,44,3.0,45.0,51.10389430941622,48.89610569058379,[35],2000.5339183018345,0.7625000000000001
46,45,2.0,46.0,51.31595705468101,48.68404294531899,[29],3924.6253249398496,0.7708333333333334
47,46,1.0,47.0,51.94937540092883,48.05062459907117,[31],3823.278389540198,0.7833333333333333
48,47,0.0,48.0,52.37181624001007,47.62818375998993,[33],3755.6878552872004,0.7916666666666666
