,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,94.38188003009412,5.618119969905882,[1],0.0,0.3916666666666666
2,1,46.0,2.0,94.40343544998532,5.596564550014665,[25],0.0,0.3999999999999999
3,2,45.0,3.0,94.40400690169865,5.595993098301348,[19],0.0,0.40833333333333327
4,3,44.0,4.0,94.41321306621418,5.5867869337858105,[26],0.0,0.4166666666666667
5,4,43.0,5.0,94.41482362823922,5.585176371760783,[20],0.0,0.425
6,5,42.0,6.0,94.41939430635361,5.580605693646381,[27],0.0,0.4333333333333333
7,6,41.0,7.0,94.42009556284896,5.579904437151033,[18],0.0,0.4416666666666666
8,7,40.0,8.0,94.42489393001632,5.575106069983671,[16],0.0,0.44999999999999996
9,8,39.0,9.0,94.43078392575934,5.569216074240663,[11],0.0,0.4583333333333333
10,9,38.0,10.0,94.43261066278684,5.5673893372131555,[42],0.0,0.4666666666666666
11,10,37.0,11.0,94.43292910130765,5.567070898692348,[10],0.0,0.4749999999999999
12,11,36.0,12.0,94.43302497824865,5.566975021751346,[3],0.0,0.4833333333333332
13,12,35.0,13.0,94.45773054906546,5.542269450934542,[40],0.0,0.49166666666666664
14,13,34.0,14.0,94.45879828709668,5.541201712903308,[22],0.0,0.5
15,14,33.0,15.0,94.4593603795064,5.540639620493593,[39],0.0,0.5083333333333333
16,15,32.0,16.0,94.45967442933942,5.540325570660582,[8],0.0,0.5166666666666666
17,16,31.0,17.0,94.46641149515486,5.5335885048451505,[9],0.0,0.5249999999999999
18,17,30.0,18.0,94.46694755997525,5.53305244002474,[13],0.0,0.5333333333333333
19,18,29.0,19.0,94.4771911878472,5.5228088121528,[30],4.6409465634287124e-259,0.5416666666666666
20,19,28.0,20.0,94.48119578206226,5.518804217937746,[37],0.0,0.5541666666666667
21,20,27.0,21.0,94.48600068146187,5.513999318538114,[34],0.0,0.5625
22,21,26.0,22.0,94.49186266998791,5.508137330012099,[32],0.0,0.5708333333333333
23,22,25.0,23.0,94.49871894523783,5.501281054762167,[45],1.661976368543333e-85,0.5791666666666666
24,23,24.0,24.0,94.50716752922621,5.492832470773794,[43],3.2691083782915345e-259,0.5875
25,24,23.0,25.0,94.52553009348078,5.4744699065192215,[36],0.0,0.5958333333333333
26,25,22.0,26.0,94.53596278404935,5.464037215950661,[15],1.7822875143591764e-85,0.6041666666666666
27,26,21.0,27.0,94.53768138722585,5.462318612774151,[23],3.721780924921329e-259,0.6124999999999999
28,27,20.0,28.0,94.53752050617939,5.462479493820614,[28],81.23366710163184,0.6208333333333333
29,28,19.0,29.0,94.5373955490806,5.462604450919403,[14],6.600268543891558e-172,0.6291666666666667
30,29,18.0,30.0,94.54962213069912,5.450377869300879,[41],93.63871647016585,0.6375000000000001
31,30,17.0,31.0,94.5497362801655,5.450263719834487,[47],6.42613376079435e-172,0.6458333333333334
32,31,16.0,32.0,94.56852637007253,5.431473629927462,[48],213.6922887332283,0.6541666666666667
33,32,15.0,33.0,94.5942297321901,5.405770267809899,[44],209.58233324646332,0.6625000000000001
34,33,14.0,34.0,94.62303833585555,5.37696166414444,[46],205.01053698610414,0.6708333333333334
35,34,13.0,35.0,94.64374944575404,5.356250554245964,[2],214.38066056342782,0.6791666666666667
36,35,12.0,36.0,94.66968016397311,5.330319836026891,[4],210.3102449009455,0.6875
37,36,11.0,37.0,94.6986449009383,5.301355099061693,[6],205.73844872851214,0.6958333333333333
38,37,10.0,38.0,94.71977580446281,5.280224195537186,[5],220.12329183141588,0.7041666666666666
39,38,9.0,39.0,94.7445015400939,5.255498459906092,[12],216.28481565602428,0.7125
40,39,8.0,40.0,94.76483236609216,5.235167633907839,[17],137.13443308317142,0.7208333333333332
41,40,7.0,41.0,94.76868891280597,5.2313110871940305,[24],0.0,0.7291666666666666
42,41,6.0,42.0,94.76905925245696,5.230940747543049,[38],212.7536596226602,0.7374999999999999
43,42,5.0,43.0,94.79128937604206,5.208710623957947,[7],220.46781379571274,0.7458333333333332
44,43,4.0,44.0,94.81348619455365,5.186513805446357,[21],216.85172288761441,0.7541666666666668
45,44,3.0,45.0,94.83391879357961,5.166081206420375,[35],213.62780468114414,0.7625000000000001
46,45,2.0,46.0,94.85572671071152,5.144273289288482,[29],419.44030416360687,0.7708333333333334
47,46,1.0,47.0,94.91569297296743,5.084307027032555,[31],409.88507587404035,0.7833333333333333
48,47,0.0,48.0,94.95517365159395,5.044826348406046,[33],403.5426727926553,0.7916666666666666
