,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,92.60427934768323,7.3957206523167605,[1],0.0,0.3916666666666666
2,1,46.0,2.0,92.62785680004153,7.3721431999584714,[25],0.0,0.3999999999999999
3,2,45.0,3.0,92.62865190228604,7.371348097713963,[42],0.0,0.40833333333333327
4,3,44.0,4.0,92.6286017874182,7.371398212581784,[26],0.0,0.4166666666666667
5,4,43.0,5.0,92.62920909008345,7.3707909099165425,[20],0.0,0.425
6,5,42.0,6.0,92.63452796015397,7.365472039846033,[27],0.0,0.4333333333333333
7,6,41.0,7.0,92.63466308785637,7.365336912143637,[19],0.0,0.4416666666666666
8,7,40.0,8.0,92.646277428757,7.353722571243009,[11],0.0,0.44999999999999996
9,8,39.0,9.0,92.64793611570084,7.352063884299157,[10],0.0,0.4583333333333333
10,9,38.0,10.0,92.64791949883087,7.352080501169136,[22],0.0,0.4666666666666666
11,10,37.0,11.0,92.64826723477312,7.35173276522688,[13],0.0,0.4749999999999999
12,11,36.0,12.0,92.65426908660396,7.345730913396034,[3],0.0,0.48333333333333334
13,12,35.0,13.0,92.68165913825213,7.318340861747882,[39],0.0,0.4916666666666667
14,13,34.0,14.0,92.68211622487233,7.317883775127669,[45],0.0,0.5
15,14,33.0,15.0,92.69280126035645,7.307198739643547,[8],0.0,0.5083333333333333
16,15,32.0,16.0,92.6995104595236,7.3004895404764,[9],0.0,0.5166666666666666
17,16,31.0,17.0,92.70061253160384,7.299387468396162,[16],0.0,0.5249999999999999
18,17,30.0,18.0,92.70903012363381,7.290969876366193,[18],0.0,0.5333333333333333
19,18,29.0,19.0,92.72124379050629,7.278756209493718,[30],6.433476843623589e-259,0.5416666666666666
20,19,28.0,20.0,92.72656343778326,7.273436562216755,[37],0.0,0.5541666666666667
21,20,27.0,21.0,92.73231003403323,7.267689965966764,[36],0.0,0.5625
22,21,26.0,22.0,92.73920070475914,7.260799295240858,[34],0.0,0.5708333333333333
23,22,25.0,23.0,92.74789235985176,7.252107640148246,[32],0.0,0.5791666666666666
24,23,24.0,24.0,92.76034356662518,7.239656433374821,[40],1.862805379447448e-85,0.5875
25,24,23.0,25.0,92.76061158363723,7.239388416362772,[43],3.8208017730827036e-259,0.5958333333333333
26,25,22.0,26.0,92.78075264663862,7.219247353361383,[23],2.2346326400117786e-85,0.6041666666666666
27,26,21.0,27.0,92.78092028204425,7.21907971795574,[15],8.628628062225138e-259,0.6124999999999999
28,27,20.0,28.0,92.78264371903707,7.217356280962926,[28],100.81929436073688,0.6208333333333333
29,28,19.0,29.0,92.78271447431473,7.217285525685275,[14],8.191921279578718e-172,0.6291666666666667
30,29,18.0,30.0,92.79650514527977,7.203494854720232,[47],117.38739439925776,0.6375000000000001
31,30,17.0,31.0,92.81643691200159,7.183563087998414,[41],7.972998201570708e-172,0.6458333333333334
32,31,16.0,32.0,92.81655737207912,7.18344262792088,[24],273.5357140310966,0.6541666666666667
33,32,15.0,33.0,92.90992134249905,7.090078657500951,[17],8.517534585905642e-259,0.6625
34,33,14.0,34.0,92.91413686771395,7.085863132286059,[5],258.2282971455863,0.6708333333333334
35,34,13.0,35.0,93.00682151441121,6.9931784855887855,[12],153.52810157714114,0.6791666666666667
36,35,12.0,36.0,93.00706911231882,6.992930887681183,[38],243.38487707294402,0.6875
37,36,11.0,37.0,93.09273490795236,6.90726509204764,[7],276.8621591491261,0.6958333333333333
38,37,10.0,38.0,93.18889934121552,6.811100658784477,[21],261.3068450368912,0.7041666666666666
39,38,9.0,39.0,93.2786827540351,6.721317245964889,[35],246.92231156157837,0.7124999999999999
40,39,8.0,40.0,93.36519110070104,6.634808899298955,[44],297.25205716505945,0.7208333333333332
41,40,7.0,41.0,93.47326345611873,6.526736543881276,[46],279.95331706040207,0.7291666666666666
42,41,6.0,42.0,93.57994276046534,6.420057239534664,[48],262.92674388090865,0.7374999999999999
43,42,5.0,43.0,93.67220215197214,6.327797848027869,[2],301.59398335532853,0.7458333333333332
44,43,4.0,44.0,93.78149321876809,6.21850678123192,[4],284.08694586297565,0.7541666666666668
45,44,3.0,45.0,93.88920167611394,6.110798323886058,[6],266.85962641694147,0.7625000000000001
46,45,2.0,46.0,93.98256982601029,6.017430173989706,[29],462.7029115625473,0.7708333333333334
47,46,1.0,47.0,94.22083465034888,5.779165349651107,[31],424.535250477867,0.7833333333333333
48,47,0.0,48.0,94.37016137741196,5.629838622588044,[33],400.67700265904443,0.7916666666666666
