,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,1158.0,0.0,,,,,
1,0,776.0,382.0,90.33840236649027,9.661597633509725,"[72341, 72342, 96161, 96162, 96191, 96192, 96301, 96302, 96372, 96412, 96431, 96452, 96491, 96561, 96562, 96591, 96592, 96621, 96622, 96641, 96642, 96651, 96652, 96681, 96682, 96971, 96972, 97211, 97212, 97301, 97302, 97331, 97332, 97362, 97541, 97542, 97611, 97612, 97641, 97642, 97671, 97672, 97951, 98301, 98302, 98341, 98342, 98351, 98352, 98871, 98872, 98931, 98932, 99441, 99442, 99471, 99472, 99561, 99562, 99841, 99842, 100201, 100202, 100221, 100222, 100231, 100232, 100411, 100412, 100451, 100452, 100481, 100482, 100541, 100542, 100631, 100632, 100801, 100802, 100811, 100812, 100841, 100842, 100941, 100942, 101041, 101042, 101071, 101072, 101331, 101332, 101501, 101502, 101951, 101952, 101981, 101982, 101991, 101992, 102021, 102022, 102081, 102082, 102121, 102122, 102462, 102491, 102622, 102871, 102872, 102881, 102882, 103231, 103232, 103681, 103682, 103721, 103722, 103761, 103762, 103841, 103842, 103851, 103852, 104261, 104262, 104561, 104562, 104821, 104822, 104911, 104912, 105401, 105432, 105461, 105462, 105601, 105602, 105921, 105922, 105931, 105932, 106001, 106031, 106032, 106061, 106091, 106111, 106112, 106121, 106122, 106131, 106132, 106151, 106152, 106161, 106162, 106271, 106282, 106302, 106311, 106811, 106812, 106911, 106912, 107011, 107012, 107151, 107152, 107171, 107172, 107221, 107222, 107251, 107252, 107261, 107262, 107321, 107322, 107451, 107452, 107511, 107512, 107631, 107632, 107961, 107962, 108101, 108102, 108451, 108452, 108721, 108722, 108771, 108772, 108821, 108822, 109061, 109062, 110011, 110012, 110041, 110042, 110071, 110072, 110331, 110561, 110562, 111612, 111662, 111982, 112321, 112322, 112401, 112402, 112411, 112412, 112431, 112432, 112441, 112442, 113001, 113062, 113081, 113511, 113512, 114072, 114091, 114331, 114342, 114632, 114641, 114651, 114662, 114811, 114812, 114941, 114942, 114951, 114952, 115001, 115002, 115121, 115122, 115152, 115181, 115251, 115252, 115351, 115352, 115361, 115362, 115461, 115462, 115641, 115642, 115661, 115662, 115671, 115672, 115681, 115682, 115721, 115722, 115811, 115812, 115851, 115852, 115901, 115902, 115941, 115991, 115992, 116001, 116002, 116041, 116042, 116061, 116062, 116081, 116082, 116111, 116112, 116141, 116142, 116151, 116152, 116161, 116162, 116171, 116172, 116181, 116182, 116191, 116192, 116201, 116202, 116221, 116222, 116231, 116232, 116242, 116311, 116361, 116362, 116371, 116381, 116391, 116392, 116431, 116432, 116451, 116452, 116481, 116482, 116491, 116492, 116561, 116562, 116581, 116582, 116611, 116612, 116621, 116622, 116671, 116672, 116681, 116682, 116731, 116732, 117211, 117212, 117321, 117341, 117342, 117371, 117372, 117411, 117501, 117502, 117941, 117942, 117961, 117981, 117982, 118001, 118002, 118011, 118012, 118021, 118022, 118071, 118072, 118081, 118082, 118192, 118201, 108652, 110941, 109831, 115582, 115561, 115651, 109602, 115611, 116521, 106092, 108522, 108561, 106312, 106301, 106062, 105402, 105431, 111691, 116312, 106281, 117482, 106272, 97202, 116832]",1.4025205374339835,0.5364421416234888
2,1,749.0,409.0,90.33840238104372,9.66159761895628,"[108531, 114312, 114321, 97831, 97952, 97361, 97251, 116842, 116821, 97691, 97832, 97201, 116831, 118131, 118142, 101321, 101342, 115071, 115062, 99041, 115111, 115092, 117332, 117311, 117481, 108521, 101572]",2.3941921377937017,0.7020725388601037
3,2,724.0,434.0,90.33840239501357,9.661597604986422,"[102162, 102902, 113231, 97222, 116241, 108532, 108562, 101571, 100731, 102161, 115942, 117412, 113902, 113891, 98142, 96522, 96521, 98901, 116512, 99741, 99042, 106002, 116372, 116382, 115151]",3.3664658197354638,0.7147668393782384
4,3,700.0,458.0,90.33840240507229,9.661597594927713,"[114692, 114701, 114192, 114242, 114671, 114682, 114231, 114711, 114722, 114201, 115091, 97221, 115112, 113232, 116522, 106441, 104831, 115311, 104851, 106081, 106191, 106231, 105792, 105842]",4.645954500002868,0.72573402417962
5,4,675.0,483.0,90.33840242242144,9.661597577578572,"[116401, 115332, 108641, 108502, 108442, 108662, 110332, 117322, 118151, 118162, 113192, 113481, 115782, 100832, 100821, 100511, 117312, 106442, 100212, 104902, 104921, 115291, 98692, 111491, 116822]",6.110438143284475,0.7402417962003455
6,5,648.0,510.0,90.33840244576672,9.661597554233275,"[97252, 97692, 116841, 105791, 105841, 116402, 106082, 106192, 106232, 117331, 115292, 98691, 104922, 104901, 111931, 113892, 98141, 113901, 116102, 102261, 117402, 100512, 100831, 100822, 101341, 101322, 100732]",7.972202031435818,0.7510362694300519
7,6,623.0,535.0,90.33840247354982,9.66159752645018,"[101301, 114211, 114222, 114252, 114261, 114741, 101362, 114732, 103411, 106431, 106742, 116511, 98902, 99742, 113482, 115781, 100211, 113112, 113021, 111731, 98622, 103262, 103202, 116022, 96271]",9.131076855441242,0.7626943005181348
8,7,584.0,574.0,90.33840257123373,9.66159742876628,"[96311, 96422, 101112, 101231, 101251, 101302, 101311, 114111, 114122, 114152, 114161, 116571, 117152, 118091, 118102, 106731, 113592, 111942, 114502, 114491, 114461, 114452, 113101, 111911, 111892, 111902, 101272, 96272, 96421, 116572, 101111, 96432, 114182, 114171, 118111, 114141, 96312, 118122, 96462]",13.264404999624956,0.7786701208981002
9,8,558.0,600.0,90.33840268962045,9.661597310379555,"[114132, 117151, 110962, 112042, 112051, 108612, 108481, 97661, 97581, 106211, 116351, 100112, 100122, 99971, 100101, 100141, 116701, 115602, 113201, 116712, 117381, 108711, 104612, 111721, 114421, 111972]",14.725304827243045,0.7982728842832469
10,9,534.0,624.0,90.33840284941441,9.661597150585592,"[113122, 113111, 114361, 114352, 113022, 114412, 100642, 100682, 100782, 100791, 97552, 112501, 105772, 105972, 105151, 105142, 111712, 105132, 105951, 99702, 98832, 98912, 98921, 111462]",11.508043822782883,0.8096718480138169
11,10,510.0,648.0,90.33840295607925,9.661597043920747,"[116071, 99411, 101892, 101922, 100111, 100102, 100121, 99972, 100142, 115652, 115612, 115581, 115562, 109832, 109601, 110942, 99832, 99851, 99821, 101811, 116342, 97991, 97961, 97942]",18.40208637894982,0.820034542314335
12,11,486.0,672.0,90.33840309107856,9.66159690892144,"[98002, 115861, 115872, 115881, 115912, 115921, 113591, 106712, 115321, 116782, 116791, 106611, 115061, 115072, 116531, 115281, 115341, 116322, 116321, 115342, 115282, 108661, 108071, 110931]",20.688013882142005,0.8305699481865284
13,12,462.0,696.0,90.33840326095567,9.661596739044345,"[107931, 115322, 106711, 98172, 103001, 104832, 115312, 104852, 104892, 98082, 100781, 100641, 100792, 100681, 118172, 118181, 113131, 114371, 114382, 114391, 114402, 108692, 99662, 99602]",24.10282359518513,0.8411053540587219
