,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,91.1994327715279,8.800567228472095,[19],0.0,0.375
2,1,46.0,2.0,91.21327107660892,8.786728923391086,[18],0.0,0.3833333333333333
3,2,45.0,3.0,91.21942793423634,8.780572065763653,[11],0.0,0.39166666666666666
4,3,44.0,4.0,91.22064420147267,8.779355798527334,[26],0.0,0.39999999999999997
5,4,43.0,5.0,91.22235989547555,8.777640104524444,[10],0.0,0.4083333333333334
6,5,42.0,6.0,91.22269426768807,8.777305732311921,[27],0.0,0.4166666666666667
7,6,41.0,7.0,91.22364751856955,8.776352481430449,[45],0.0,0.425
8,7,40.0,8.0,91.25038260544687,8.749617394553125,[13],0.0,0.4333333333333333
9,8,39.0,9.0,91.25732262411113,8.74267737588887,[43],0.0,0.44166666666666665
10,9,38.0,10.0,91.28960871521276,8.71039128478724,[42],0.0,0.45
11,10,37.0,11.0,91.29645702807572,8.703542971924291,[39],0.0,0.4583333333333333
12,11,36.0,12.0,91.2971124742178,8.702887525782192,[3],0.0,0.4666666666666666
13,12,35.0,13.0,91.31117452692652,8.688825473073488,[23],0.0,0.4749999999999999
14,13,34.0,14.0,91.31108412189953,8.688915878100463,[40],0.0,0.4833333333333334
15,14,33.0,15.0,91.31268099382515,8.687319006174851,[16],0.0,0.4916666666666667
16,15,32.0,16.0,91.32093787801922,8.679062121980774,[8],0.0,0.5
17,16,31.0,17.0,91.33108439503953,8.668915604960462,[20],0.0,0.5083333333333334
18,17,30.0,18.0,91.34525145867755,8.654748541322459,[37],7.269369753695503e-259,0.5166666666666667
19,18,29.0,19.0,91.35141045761314,8.64858954238685,[36],0.0,0.525
20,19,28.0,20.0,91.35850661071343,8.641493389286568,[34],0.0,0.5333333333333333
21,20,27.0,21.0,91.36724060594295,8.632759394057045,[30],0.0,0.5416666666666666
22,21,26.0,22.0,91.3772294870217,8.622770512978313,[32],0.0,0.5541666666666667
23,22,25.0,23.0,91.3915735614131,8.608426438586896,[22],5.500581773661753e-85,0.5625
24,23,24.0,24.0,91.39202900191313,8.60797099808687,[15],1.1384613941731952e-258,0.5708333333333333
25,24,23.0,25.0,91.39794619171175,8.60205380828825,[14],1.9426510560633113e-41,0.5791666666666667
26,25,22.0,26.0,91.41502816602475,8.584971833975255,[28],3.792733565334049e-215,0.5875
27,26,21.0,27.0,91.41558943675736,8.584410563242637,[41],119.98079123929703,0.5958333333333333
28,27,20.0,28.0,91.4164779296016,8.583522070398413,[47],3.7361861849408337e-172,0.6041666666666666
29,28,19.0,29.0,91.44209842410412,8.557901575895876,[21],132.07084960130558,0.6124999999999999
30,29,18.0,30.0,91.44225706279559,8.5577429372044,[7],1.1284365098145705e-171,0.6208333333333332
31,30,17.0,31.0,91.46198398606327,8.538016013936723,[31],0.0,0.6291666666666667
32,31,16.0,32.0,91.46740079565028,8.532599204349713,[48],335.3668386534546,0.6375000000000001
33,32,15.0,33.0,91.51924828581225,8.480751714187756,[44],327.138301415679,0.6458333333333334
34,33,14.0,34.0,91.5749033677732,8.425096632226804,[46],318.2074034498866,0.6541666666666667
35,34,13.0,35.0,91.6173741852941,8.382625814705898,[2],340.7269940144257,0.6625
36,35,12.0,36.0,91.6688680136398,8.331131986360207,[4],332.4051469019437,0.6708333333333334
37,36,11.0,37.0,91.72556838418711,8.274431615812881,[6],323.31448961051456,0.6791666666666666
38,37,10.0,38.0,91.7695778190652,8.230422180934799,[1],344.54486927748275,0.6875
39,38,9.0,39.0,91.81980510287548,8.180194897124506,[9],336.7131674229972,0.6958333333333333
40,39,8.0,40.0,91.86245231418637,8.137547685813622,[25],329.80961325768084,0.7041666666666666
41,40,7.0,41.0,91.90478138430771,8.095218615692291,[33],323.0604430688024,0.7125
42,41,6.0,42.0,91.94877320480354,8.051226795196452,[35],316.3171182594932,0.7208333333333332
43,42,5.0,43.0,91.99202432531928,8.007975674680718,[5],344.1849451740771,0.7291666666666666
44,43,4.0,44.0,92.04016523953143,7.959834760468558,[12],336.51468285382794,0.7374999999999999
45,44,3.0,45.0,92.0838027363566,7.916197263643408,[24],329.60952107993296,0.7458333333333332
46,45,2.0,46.0,92.12612825533608,7.873871744663917,[38],322.85797098080536,0.7541666666666668
47,46,1.0,47.0,92.16978481827026,7.8302151817297325,[17],440.95007094501904,0.7624999999999998
48,47,0.0,48.0,92.21277609564666,7.787223904353333,[29],618.178574480159,0.7708333333333334
