,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,46.0,0.0,,,,,
1,0,45.0,1.0,89.33269123710413,10.667308762895864,[2],0.0,0.3869565217391303
2,1,44.0,2.0,89.35214103957257,10.64785896042743,[43],0.0,0.3956521739130433
3,2,43.0,3.0,89.36950781401211,10.630492185987887,[40],0.0,0.4043478260869564
4,3,42.0,4.0,89.4009472555471,10.599052744452905,[27],0.0,0.4130434782608694
5,4,41.0,5.0,89.40257020732349,10.597429792676504,[10],0.0,0.4217391304347825
6,5,40.0,6.0,89.43152859897029,10.568471401029704,[15],0.0,0.4304347826086955
7,6,39.0,7.0,89.44509870541103,10.55490129458897,[25],3.6922347151490286e-237,0.4391304347826086
8,7,38.0,8.0,89.44529527716165,10.554704722838345,[22],0.0,0.4478260869565216
9,8,37.0,9.0,89.44432376771675,10.555676232283252,[44],3.412922918328236e-85,0.45652173913043465
10,9,36.0,10.0,89.46146916735648,10.538530832643518,[39],7.025404857877602e-259,0.46521739130434764
11,10,35.0,11.0,89.48803549770876,10.51196450229123,[1],3.829888356366454e-85,0.47391304347826074
12,11,34.0,12.0,89.49717568922864,10.502824310771356,[9],0.0,0.48260869565217385
13,12,33.0,13.0,89.51905541187902,10.480944588120977,[23],7.062198386202257e-259,0.49130434782608684
14,13,32.0,14.0,89.51804972666592,10.481950273334093,[17],4.3322548155350457e-20,0.49999999999999983
15,14,31.0,15.0,90.22878093551206,9.771219064487928,[24],7.596758783622977e-194,0.5086956521739129
16,15,30.0,16.0,90.22843830726691,9.771561692733089,[19],0.0,0.517391304347826
17,16,29.0,17.0,90.25701214027103,9.742987859728967,[41],150.58136164254563,0.5260869565217391
18,17,28.0,18.0,90.26821296651346,9.731787033486533,[47],1.0798412636379748e-171,0.5347826086956521
19,18,27.0,19.0,90.2924307737959,9.70756922620409,[5],155.63468582601817,0.5434782608695652
20,19,26.0,20.0,90.30221711807187,9.697782881928141,[12],5.1152296034994726e-172,0.5521739130434782
21,20,25.0,21.0,90.32543325345776,9.674566746542245,[26],0.0,0.5608695652173912
22,21,24.0,22.0,90.325282717343,9.674717282657006,[36],167.53846115170793,0.5695652173913043
23,22,23.0,23.0,90.34198907250298,9.658010927497012,[34],1.2796711409070122e-171,0.5782608695652174
24,23,22.0,24.0,90.37056600759684,9.629433992403156,[6],169.71856107223428,0.5869565217391304
25,24,21.0,25.0,90.3881674023644,9.611832597635594,[11],1.2130907940718645e-171,0.5956521739130434
26,25,20.0,26.0,90.41541432656621,9.584585673433804,[14],359.06254121669843,0.6043478260869565
27,26,19.0,27.0,90.46522242793161,9.534777572068403,[28],350.99885787367776,0.6130434782608695
28,27,18.0,28.0,90.50954677187401,9.490453228125995,[38],343.914374026479,0.6217391304347826
29,28,17.0,29.0,90.55548504899451,9.444514951005491,[7],359.5520335021691,0.6304347826086956
30,29,16.0,30.0,90.60441424363017,9.395585756369828,[21],351.59502452298807,0.6391304347826087
31,30,15.0,31.0,90.64869386863596,9.351306131364042,[35],344.4664274956945,0.6478260869565217
32,31,14.0,32.0,90.69456198705996,9.30543801294004,[8],405.2179484099002,0.6565217391304347
33,32,13.0,33.0,90.74200015712405,9.257999842875941,[13],397.45981224304387,0.6652173913043478
34,33,12.0,34.0,90.78838919495401,9.211610805045991,[16],389.7131381898311,0.6739130434782609
35,34,11.0,35.0,90.8391262856634,9.160873714336605,[18],381.59902713664303,0.6826086956521739
36,35,10.0,36.0,91.5543340043064,8.445665995693592,[20],318.08329298026206,0.6913043478260869
37,36,9.0,37.0,91.6008722278071,8.399127772192886,[30],358.9011061519627,0.7000000000000001
38,37,8.0,38.0,91.66967103901563,8.330328960984378,[32],347.91461140063836,0.7130434782608697
39,38,7.0,39.0,91.7400177459352,8.259982254064802,[4],337.9455988072299,0.7217391304347827
40,39,6.0,40.0,91.84472272173248,8.15527727826752,[37],326.6964446806401,0.7304347826086957
41,40,5.0,41.0,91.89126734178811,8.108732658211894,[42],319.2182483086688,0.7391304347826086
42,41,4.0,42.0,91.93399727745707,8.066002722542924,[48],312.37918188706084,0.7478260869565219
43,42,3.0,43.0,91.97901902635593,8.020980973644075,[29],673.9466582781222,0.7565217391304349
44,43,2.0,44.0,92.10786977791561,7.892130222084387,[31],653.3190621948394,0.7695652173913043
45,44,1.0,45.0,92.20608264037355,7.793917359626451,[3],637.5947925336434,0.7782608695652173
46,45,0.0,46.0,92.31558447822734,7.684415521772669,[33],620.0648139609727,0.7869565217391303
