,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,46.0,0.0,,,,,
1,0,45.0,1.0,89.40603227193182,10.593967728068176,[25],0.0,0.3956521739130433
2,1,44.0,2.0,89.4089272293121,10.591072770687896,[27],0.0,0.4043478260869564
3,2,43.0,3.0,89.4080675742286,10.591932425771402,[2],0.0,0.4130434782608694
4,3,42.0,4.0,89.42819770670086,10.57180229329914,[40],0.0,0.42173913043478245
5,4,41.0,5.0,89.44759575578497,10.552404244215033,[43],0.0,0.43043478260869544
6,5,40.0,6.0,89.47713986884357,10.52286013115643,[22],0.0,0.43913043478260855
7,6,39.0,7.0,89.47742192497904,10.522578075020961,[10],0.0,0.44782608695652154
8,7,38.0,8.0,89.505979562375,10.494020437625005,[15],0.0,0.45652173913043465
9,8,37.0,9.0,89.51626913272973,10.483730867270271,[24],4.283423370974078e-20,0.46521739130434764
10,9,36.0,10.0,89.51520876062263,10.484791239377376,[19],8.718066693449319e-194,0.47391304347826063
11,10,35.0,11.0,89.5457985928152,10.454201407184788,[17],8.371728195439401e-194,0.48260869565217374
12,11,34.0,12.0,90.2548794485996,9.745120551400394,[41],127.56658020827318,0.49130434782608684
13,12,33.0,13.0,90.26457648390502,9.735423516094984,[47],4.034627292251082e-172,0.49999999999999983
14,13,32.0,14.0,90.28817322565963,9.711826774340375,[1],142.19661584185118,0.5086956521739129
15,14,31.0,15.0,90.30015941076785,9.699840589232156,[9],0.0,0.517391304347826
16,15,30.0,16.0,90.31955016948834,9.68044983051166,[23],1.0259667852689808e-171,0.526086956521739
17,16,29.0,17.0,90.32048747047949,9.679512529520505,[5],155.1355921595687,0.5347826086956521
18,17,28.0,18.0,90.32993269323855,9.670067306761455,[12],5.155532956375053e-172,0.5434782608695652
19,18,27.0,19.0,90.35192348992823,9.648076510071778,[26],0.0,0.5521739130434782
20,19,26.0,20.0,90.35234056839823,9.647659431601781,[48],155.88691484490565,0.5608695652173912
21,20,25.0,21.0,90.36686230581397,9.633137694186024,[42],5.1041814005908787e-172,0.5695652173913043
22,21,24.0,22.0,90.39447875959607,9.605521240403922,[44],169.62976143188337,0.5782608695652174
23,22,23.0,23.0,90.41240108182629,9.58759891817372,[39],1.2214233802427736e-171,0.5869565217391304
24,23,22.0,24.0,90.43844086852219,9.561559131477807,[6],169.77309480000466,0.5956521739130435
25,24,21.0,25.0,90.45739663857441,9.542603361425597,[11],1.2132571011583402e-171,0.6043478260869566
26,25,20.0,26.0,90.48406673694484,9.51593326305516,[38],355.52992894553523,0.6130434782608696
27,26,19.0,27.0,90.53385538177814,9.466144618221856,[14],347.535946088805,0.6217391304347826
28,27,18.0,28.0,90.58124636023173,9.418753639768266,[28],339.86613553751056,0.6304347826086957
29,28,17.0,29.0,90.62349073004214,9.376509269957866,[7],355.8816058361572,0.6391304347826088
30,29,16.0,30.0,90.67091928997017,9.329080710029821,[21],347.7953063608617,0.6478260869565218
31,30,15.0,31.0,90.7141352616809,9.285864738319104,[35],340.8089250073993,0.6565217391304348
32,31,14.0,32.0,90.76138682664957,9.238613173350423,[8],405.19615436116936,0.6652173913043478
33,32,13.0,33.0,90.81089776730855,9.18910223269146,[13],397.37291710765317,0.673913043478261
34,33,12.0,34.0,90.85847868830362,9.14152131169637,[16],389.68293991712284,0.682608695652174
35,34,11.0,35.0,90.90801693128883,9.09198306871117,[18],381.6262697382036,0.691304347826087
36,35,10.0,36.0,91.62099956190266,8.379000438097346,[20],318.09399373484956,0.7000000000000001
37,36,9.0,37.0,91.66701178331002,8.332988216689994,[30],355.6048118187015,0.7086956521739131
38,37,8.0,38.0,91.71340209799769,8.286597902002315,[32],348.16194691551794,0.7173913043478263
39,38,7.0,39.0,91.7843219844928,8.215678015507192,[4],338.1369683819529,0.7260869565217393
40,39,6.0,40.0,91.88977478785279,8.110225212147208,[34],326.64849362814437,0.7347826086956523
41,40,5.0,41.0,91.9328836898262,8.067116310173814,[36],319.6867840246342,0.7434782608695653
42,41,4.0,42.0,91.97873380535482,8.021266194645186,[37],312.3582661892225,0.7521739130434782
43,42,3.0,43.0,92.02340174719646,7.976598252803546,[29],666.8090963816067,0.7608695652173914
44,43,2.0,44.0,92.10975740081355,7.8902425991864495,[31],652.9915082019081,0.7695652173913043
45,44,1.0,45.0,92.2043989008034,7.7956010991966,[3],637.8371060199127,0.7782608695652173
46,45,0.0,46.0,92.31420925525505,7.685790744744947,[33],620.2633638552802,0.7869565217391303
