,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,46.0,0.0,,,,,
1,0,45.0,1.0,89.4239846531009,10.576015346899096,[2],0.0,0.3999999999999999
2,1,44.0,2.0,89.44457267039337,10.555427329606646,[43],0.0,0.40869565217391296
3,2,43.0,3.0,89.46254981770157,10.537450182298423,[27],0.0,0.417391304347826
4,3,42.0,4.0,89.46079487559071,10.539205124409301,[23],0.0,0.426086956521739
5,4,41.0,5.0,89.462388939171,10.537611060828986,[40],0.0,0.4347826086956521
6,5,40.0,6.0,89.4950209138839,10.504979086116103,[22],0.0,0.4434782608695651
7,6,39.0,7.0,89.49505006514802,10.504949934851982,[21],0.0,0.4521739130434782
8,7,38.0,8.0,89.49737955673237,10.502620443267627,[10],0.0,0.4608695652173912
9,8,37.0,9.0,89.52507871694935,10.474921283050637,[28],128.12152138129483,0.46956521739130425
10,9,36.0,10.0,89.52599365162428,10.474006348375726,[5],153.77791599042425,0.4782608695652173
11,10,35.0,11.0,89.5409397931085,10.45906020689149,[12],5.045575948541625e-172,0.48695652173913034
12,11,34.0,12.0,89.57417053460796,10.425829465392042,[7],155.1679251023216,0.49565217391304334
13,12,33.0,13.0,89.59670777231064,10.403292227689366,[15],5.0690185053445816e-172,0.5043478260869564
14,13,32.0,14.0,89.614357705045,10.385642294955005,[30],155.31447044390345,0.5130434782608695
15,14,31.0,15.0,89.6279214923001,10.372078507699904,[37],5.088251270140592e-172,0.5217391304347825
16,15,30.0,16.0,89.65831081970117,10.341689180298827,[6],167.49817856059505,0.5304347826086956
17,16,29.0,17.0,89.67407572940121,10.32592427059878,[11],1.2576509383691846e-171,0.5391304347826086
18,17,28.0,18.0,89.70058114425996,10.29941885574006,[36],169.79255885342815,0.5478260869565217
19,18,27.0,19.0,89.71870039735605,10.281299602643953,[34],1.2138984113602167e-171,0.5565217391304348
20,19,26.0,20.0,89.74517456655309,10.254825433446914,[3],173.67195150724484,0.5652173913043478
21,20,25.0,21.0,90.12614366475671,9.8738563352433,[26],0.0,0.5739130434782608
22,21,24.0,22.0,90.12713410728853,9.872865892711463,[31],0.0,0.5826086956521738
23,22,23.0,23.0,90.48891176199872,9.511088238001273,[41],150.75307614572165,0.5913043478260869
24,23,22.0,24.0,90.50325961321896,9.496740386781045,[47],1.0223504376316233e-171,0.6
25,24,21.0,25.0,90.52673266306111,9.473267336938898,[1],352.48720448321313,0.6086956521739131
26,25,20.0,26.0,90.57284835479149,9.427151645208507,[25],345.05806559833775,0.6173913043478261
27,26,19.0,27.0,90.61561870007087,9.384381299929139,[33],0.0,0.6260869565217391
28,27,18.0,28.0,90.61895472999758,9.381045270002417,[9],337.94697185892034,0.6347826086956522
29,28,17.0,29.0,90.66739397565637,9.332606024343638,[35],330.3105726452949,0.6434782608695653
30,29,16.0,30.0,90.7140000717266,9.285999928273402,[24],352.23635822807876,0.6521739130434783
31,30,15.0,31.0,90.75789676208377,9.242103237916224,[14],345.20780439288495,0.6608695652173913
32,31,14.0,32.0,90.8040949175313,9.195905082468686,[29],337.5690402794872,0.6695652173913044
33,32,13.0,33.0,90.84754927074815,9.15245072925186,[38],330.6651307224755,0.6782608695652174
34,33,12.0,34.0,90.89417825610802,9.105821743891985,[8],405.4122028278566,0.6869565217391304
35,34,11.0,35.0,90.94333459460185,9.056665405398139,[13],397.58333238905743,0.6956521739130433
36,35,10.0,36.0,90.99140509782978,9.008594902170215,[16],389.87612191883954,0.7043478260869565
37,36,9.0,37.0,91.0429279512055,8.957072048794492,[18],381.7655266992379,0.7130434782608696
38,37,8.0,38.0,91.7525651878178,8.247434812182215,[20],318.1990185616912,0.7217391304347825
39,38,7.0,39.0,91.79930860269579,8.20069139730421,[32],354.63977560277914,0.7304347826086957
40,39,6.0,40.0,91.87241234331943,8.127587656680566,[4],344.3471050833629,0.7391304347826089
41,40,5.0,41.0,91.97894430869997,8.021055691300036,[39],332.9068915979348,0.7478260869565219
42,41,4.0,42.0,92.02355885779329,7.976441142206701,[42],325.7758708112819,0.7565217391304347
43,42,3.0,43.0,92.06657470553601,7.933425294463982,[44],318.8088521865609,0.7652173913043478
44,43,2.0,44.0,92.11165883304938,7.8883411669506245,[48],311.5862045230195,0.7739130434782607
45,44,1.0,45.0,92.15605824552891,7.843941754471093,[17],646.2017981126783,0.7826086956521737
46,45,0.0,46.0,92.34471144155275,7.655288558447264,[19],616.0144718339967,0.7913043478260869
