,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,91.55546022651268,8.444539773487332,[13],0.0,0.375
2,1,46.0,2.0,91.55228900611677,8.447710993883245,[16],0.0,0.3833333333333333
3,2,45.0,3.0,91.55155734743309,8.44844265256691,[14],0.0,0.3916666666666666
4,3,44.0,4.0,91.55110141875323,8.44889858124677,[15],0.0,0.3999999999999999
5,4,43.0,5.0,91.5513120942795,8.448687905720515,[20],0.0,0.4083333333333334
6,5,42.0,6.0,91.55097602317429,8.449023976825714,[19],0.0,0.4166666666666667
7,6,41.0,7.0,91.5511835113316,8.448816488668399,[27],0.0,0.425
8,7,40.0,8.0,91.55131296124485,8.448687038755159,[28],0.0,0.4333333333333333
9,8,39.0,9.0,91.5506571647286,8.449342835271393,[39],0.0,0.44166666666666665
10,9,38.0,10.0,91.54943733944347,8.450562660556528,[23],0.0,0.45
11,10,37.0,11.0,91.54871525461394,8.451284745386056,[42],0.0,0.4583333333333333
12,11,36.0,12.0,91.54747021099173,8.452529789008265,[45],0.0,0.4666666666666666
13,12,35.0,13.0,91.54840878507477,8.451591214925237,[24],0.0,0.47500000000000003
14,13,34.0,14.0,91.54734855042496,8.452651449575043,[11],3.1285915669985866e-302,0.4833333333333334
15,14,33.0,15.0,91.54709577516506,8.45290422483493,[18],0.0,0.4916666666666667
16,15,32.0,16.0,91.54623898383997,8.453761016160037,[10],0.0,0.5
17,16,31.0,17.0,91.54587465046082,8.454125349539183,[34],5.362345682591184e-259,0.5083333333333334
18,17,30.0,18.0,91.54537632618903,8.454623673810971,[36],0.0,0.5166666666666667
19,18,29.0,19.0,91.54472518224944,8.455274817750567,[32],0.0,0.525
20,19,28.0,20.0,91.54456527859944,8.455434721400565,[37],0.0,0.5333333333333333
21,20,27.0,21.0,91.54486267066643,8.455137329333567,[30],0.0,0.5416666666666666
22,21,26.0,22.0,91.54466528168219,8.455334718317818,[40],5.83474350140562e-85,0.5541666666666667
23,22,25.0,23.0,91.54446970907028,8.455530290929708,[43],1.2024397088918647e-258,0.5625
24,23,24.0,24.0,91.54589296840291,8.454107031597099,[3],7.693025597985464e-85,0.5708333333333333
25,24,23.0,25.0,91.54624520180874,8.453754798191255,[8],1.5070256705935802e-258,0.5791666666666666
26,25,22.0,26.0,91.5468253307933,8.453174669206708,[22],1.4035297643640955e-258,0.5875
27,26,21.0,27.0,91.54624526975506,8.453754730244931,[47],116.79482518991094,0.5958333333333333
28,27,20.0,28.0,91.54752594820816,8.452474051791835,[41],3.635387047160139e-172,0.6041666666666666
29,28,19.0,29.0,91.54633731634446,8.453662683655528,[7],129.88153107541515,0.6124999999999999
30,29,18.0,30.0,91.54630366014031,8.453696339859695,[21],1.1093986935477885e-171,0.6208333333333333
31,30,17.0,31.0,91.54549149657217,8.454508503427824,[44],331.446989076394,0.6291666666666667
32,31,16.0,32.0,91.59748264959713,8.402517350402881,[46],323.09619104135083,0.6375
33,32,15.0,33.0,91.65939597492715,8.340604025072853,[48],313.18918037987066,0.6458333333333334
34,33,14.0,34.0,91.72002005380958,8.279979946190432,[2],336.8356407906321,0.6541666666666667
35,34,13.0,35.0,91.77472944070668,8.225270559293318,[4],328.1056399202402,0.6625
36,35,12.0,36.0,91.83753457590441,8.16246542409559,[6],318.0771254617237,0.6708333333333333
37,36,11.0,37.0,91.89899966636266,8.101000333637344,[1],342.18052386719944,0.6791666666666666
38,37,10.0,38.0,91.94298558385564,8.057014416144366,[9],335.1357183197794,0.6875
39,38,9.0,39.0,91.98592582186943,8.014074178130565,[25],208.16841669176654,0.6958333333333333
40,39,8.0,40.0,91.98600561435141,8.013994385648592,[17],2.1434135870173597e-171,0.7041666666666666
41,40,7.0,41.0,91.986291227684,8.013708772315999,[35],328.2223598354419,0.7124999999999999
42,41,6.0,42.0,92.02845471896636,7.971545281033637,[33],321.4731524928356,0.7208333333333332
43,42,5.0,43.0,92.0699764866167,7.930023513383308,[5],342.1816326285687,0.7291666666666666
44,43,4.0,44.0,92.11395203422812,7.886047965771876,[12],335.14698646020196,0.7374999999999999
45,44,3.0,45.0,92.15668248842593,7.84331751157408,[26],328.2917710224125,0.7458333333333332
46,45,2.0,46.0,92.19880048503273,7.801199514967275,[38],321.5624716437522,0.7541666666666668
47,46,1.0,47.0,92.2402017353594,7.7597982646405965,[29],629.8192230979457,0.7624999999999998
48,47,0.0,48.0,92.35142336877182,7.648576631228188,[31],612.0237617519601,0.7749999999999999
