,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,76.0,0.0,,,,,
1,0,75.0,1.0,96.70841084184487,3.291589158155142,[7],29.724272144909577,0.3999999999999999
2,1,74.0,2.0,96.68641868836637,3.313581311633625,[35],29.78350187472616,0.413157894736842
3,2,73.0,3.0,96.70967460355685,3.290325396443149,[37],38.88509331535152,0.4263157894736841
4,3,72.0,4.0,96.68982703627206,3.31017296372794,[38],39.059851597130084,0.4394736842105262
5,4,71.0,5.0,96.71747259810066,3.282527401899348,[54],59.93037705111731,0.45263157894736833
6,5,70.0,6.0,96.69394167408178,3.306058325918223,[60],31.302392592243176,0.4657894736842104
7,6,69.0,7.0,96.7227274631787,3.2772725368213034,[18],60.39352497624289,0.4789473684210525
8,7,68.0,8.0,96.69862470906702,3.3013752909329765,[56],31.509843931270606,0.4921052631578946
9,8,67.0,9.0,96.72921959646953,3.270780403530469,[1],74.6962923864053,0.5052631578947367
10,9,66.0,10.0,96.70475681091494,3.2952431890850438,[3],112.98422004112066,0.5105263157894736
11,10,65.0,11.0,96.72971590698918,3.270284093010804,[4],124.52983110039334,0.5157894736842104
12,11,64.0,12.0,96.70634360828015,3.293656391719848,[14],128.0324546992657,0.5210526315789473
13,12,63.0,13.0,96.73277823979838,3.267221760201623,[44],150.88296729473043,0.5263157894736842
14,13,62.0,14.0,96.71716413161097,3.2828358683890335,[57],123.1058690181205,0.5368421052631579
15,14,61.0,15.0,96.74486493723364,3.255135062766362,[16],152.84938166378032,0.5421052631578946
16,15,60.0,16.0,96.7390761435075,3.26092385649251,[50],153.64191038062748,0.5605263157894737
17,16,59.0,17.0,96.79799685642358,3.2020031435764174,[41],153.0953195744594,0.5789473684210527
18,17,58.0,18.0,96.78806756329021,3.2119324367097817,[19],156.8458334687178,0.5894736842105263
19,18,57.0,19.0,96.82496568512117,3.1750343148788343,[55],156.85108489723953,0.6052631578947368
20,19,56.0,20.0,96.8500443540227,3.14995564597731,[45],159.66424659831375,0.613157894736842
21,20,55.0,21.0,96.86891258240321,3.1310874175967793,[64],190.6499611592292,0.631578947368421
22,21,54.0,22.0,96.85980294645452,3.140197053545482,[62],193.52537754174892,0.6499999999999999
23,22,53.0,23.0,96.87443014414715,3.125569855852843,[10],202.7511125626384,0.65
24,23,52.0,24.0,96.87593912269703,3.1240608773029743,[73],184.58229842924166,0.6684210526315789
25,24,51.0,25.0,96.88340620987432,3.116593790125673,[31],204.1252551815313,0.6684210526315789
26,25,50.0,26.0,96.88185021584934,3.11814978415065,[76],182.99548604370608,0.6736842105263158
27,26,49.0,27.0,96.89075710841647,3.1092428915835373,[72],226.01842558747006,0.6921052631578948
28,27,48.0,28.0,96.88471973398867,3.1152802660113226,[70],225.9229326734005,0.6947368421052631
29,28,47.0,29.0,96.89236386154829,3.1076361384517113,[2],269.5222213884166,0.6947368421052631
30,29,46.0,30.0,96.88622825151083,3.113771748489165,[6],97.55279252197415,0.7105263157894737
31,30,45.0,31.0,96.8944317955202,3.1055682044797877,[22],273.26762708672646,0.7263157894736842
32,31,44.0,32.0,96.89162491584202,3.1083750841579803,[49],215.3664470511992,0.7394736842105264
33,32,43.0,33.0,96.9015011492563,3.0984988507436952,[5],279.87264357602885,0.7473684210526316
34,33,42.0,34.0,96.89568772349556,3.1043122765044338,[47],275.8413497195899,0.755263157894737
35,34,41.0,35.0,96.90927050370064,3.0907294962993586,[52],316.50337077409733,0.7736842105263158
36,35,40.0,36.0,96.91352602518914,3.086473974810849,[12],324.01790229052193,0.7973684210526317
37,36,39.0,37.0,96.91994771353443,3.0800522864655773,[8],348.93457153816735,0.7894736842105263
38,37,38.0,38.0,96.9156151629871,3.084384837012896,[68],372.835036724833,0.8157894736842105
39,38,37.0,39.0,96.92264302834121,3.077356971658778,[71],362.08335222914906,0.8105263157894737
40,39,36.0,40.0,96.91932319122445,3.080676808775544,[63],373.8052318749882,0.8157894736842105
41,40,35.0,41.0,96.92636215063906,3.0736378493609364,[17],381.27463222847445,0.8131578947368421
42,41,34.0,42.0,96.9339621370961,3.066037862903892,[20],382.516205001219,0.8236842105263157
43,42,33.0,43.0,96.94891388059007,3.0510861194099252,[9],402.069653519987,0.8421052631578947
44,43,32.0,44.0,96.94658729980925,3.0534127001907523,[59],370.35371644102804,0.8421052631578946
45,44,31.0,45.0,96.95371606116969,3.046283938830318,[53],336.8231876002708,0.8605263157894738
46,45,30.0,46.0,96.95859281623815,3.0414071837618564,[40],321.0136611339104,0.8684210526315791
47,46,29.0,47.0,96.97270498525015,3.027295014749856,[11],418.5422128098825,0.8947368421052634
48,47,28.0,48.0,96.97309986513794,3.026900134862061,[36],425.9799108117349,0.9078947368421054
49,48,27.0,49.0,96.97543123397774,3.024568766022253,[66],425.72321102725294,0.8947368421052634
50,49,26.0,50.0,96.97596372827998,3.024036271720021,[69],297.51487259620325,0.9052631578947372
51,50,25.0,51.0,96.97634586968297,3.023654130317021,[33],428.65384362172836,0.9131578947368424
52,51,24.0,52.0,96.979133417007,3.0208665829929986,[74],437.79119243405665,0.910526315789474
53,52,23.0,53.0,96.98728448963058,3.012715510369424,[39],443.54558283686526,0.9157894736842108
54,53,22.0,54.0,96.99972752961817,3.0002724703818346,[61],466.3083410715851,0.9526315789473687
55,54,21.0,55.0,97.00230109955818,2.9976989004418266,[30],501.3716095264177,0.9394736842105263
56,55,20.0,56.0,97.00588371642289,2.994116283577113,[75],508.07968083701275,0.9657894736842108
57,56,19.0,57.0,97.00599189037837,2.9940081096216367,[15],561.5615925365315,0.9763157894736845
58,57,18.0,58.0,97.00710915668635,2.9928908433136394,[42],630.1339767861077,0.9789473684210529
59,58,17.0,59.0,97.00805444646987,2.991945553530136,[65],295.31708968998623,0.9815789473684212
60,59,16.0,60.0,97.00877998782578,2.99122001217423,[32],687.792345917206,0.9815789473684212
61,60,15.0,61.0,97.01258873237235,2.987411267627648,[23],539.3908581810495,0.9947368421052633
62,61,14.0,62.0,97.01696380301519,2.983036196984811,[24],703.6564573044874,0.9921052631578948
63,62,13.0,63.0,97.01854506296583,2.981454937034169,[48],612.0796453957865,0.9973684210526317
64,63,12.0,64.0,97.01965663861245,2.980343361387554,[21],703.4588128552499,1.0078947368421056
65,64,11.0,65.0,97.02192845359656,2.97807154640344,[58],759.0470403032313,1.010526315789474
66,65,10.0,66.0,97.02553555749188,2.9744644425081157,[13],764.4113179331306,1.0157894736842108
67,66,9.0,67.0,97.0272477342998,2.9727522657001955,[29],934.2013658576429,1.0289473684210528
68,67,8.0,68.0,97.02940175840119,2.9705982415988155,[34],979.4644718177925,1.0263157894736843
69,68,7.0,69.0,97.03180325422913,2.9681967457708707,[26],1056.8634150214796,1.0289473684210528
70,69,6.0,70.0,97.03600613670784,2.96399386329216,[51],1039.9108293384152,1.0315789473684212
71,70,5.0,71.0,97.03521200747426,2.9647879925257534,[27],1353.7557925766332,1.036842105263158
72,71,4.0,72.0,97.03987373793022,2.960126262069774,[25],1320.289129747661,1.0157894736842106
73,72,3.0,73.0,97.04073161447057,2.9592683855294286,[46],1322.380934686083,1.0184210526315791
74,73,2.0,74.0,97.04209885858104,2.9579011414189655,[67],1325.2381622737796,1.0289473684210528
75,74,1.0,75.0,97.04288778640621,2.9571122135937813,[28],1556.3578363311854,1.023684210526316
76,75,0.0,76.0,97.04660083375565,2.9533991662443597,[43],1578.9344142131815,1.0157894736842108
