,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,76.0,0.0,,,,,
1,0,75.0,1.0,81.66361356334917,18.336386436650823,[38],0.0,1.0960526315789474
2,1,74.0,2.0,81.65098133014004,18.349018669859955,[56],0.0,1.0986842105263157
3,2,73.0,3.0,81.6635152601119,18.33648473988811,[37],0.0,1.0960526315789474
4,3,72.0,4.0,81.6511009525533,18.34889904744668,[60],0.0,1.0986842105263157
5,4,71.0,5.0,81.66332638445203,18.33667361554797,[75],2.900182745584747e-220,1.0960526315789474
6,5,70.0,6.0,81.65362267448809,18.346377325511913,[66],0.0,1.0960526315789474
7,6,69.0,7.0,81.66685824100067,18.333141758999343,[7],8.722328411710073e-36,1.0986842105263157
8,7,68.0,8.0,81.65685663125335,18.343143368746656,[64],3.765755179186737e-112,1.0986842105263157
9,8,67.0,9.0,81.66827304530376,18.331726954696247,[35],9.51616032298507e-36,1.1125
10,9,66.0,10.0,81.65939004467909,18.340609955320915,[62],3.6654154640295154e-112,1.117763157894737
11,10,65.0,11.0,81.6693755109583,18.330624489041696,[5],18.138536581965038,1.1210526315789473
12,11,64.0,12.0,81.66230969099026,18.337690309009748,[2],18.13853429783312,1.1289473684210527
13,12,63.0,13.0,81.66916299805338,18.330837001946616,[54],36.396561620598355,1.1236842105263158
14,13,62.0,14.0,81.6624723903412,18.337527609658807,[18],36.39650500109978,1.1289473684210527
15,14,61.0,15.0,81.66895893326249,18.331041066737516,[6],493.9438292459647,1.1236842105263158
16,15,60.0,16.0,81.663056158545,18.336943841455007,[8],494.2199730998985,1.1467105263157895
17,16,59.0,17.0,81.66970696370083,18.33029303629917,[50],823.2122510928014,1.1592105263157895
18,17,58.0,18.0,81.6649291678494,18.335070832150606,[55],842.2937512548018,1.1822368421052634
19,18,57.0,19.0,81.67333037235613,18.326669627643856,[57],1206.8995535692109,1.1947368421052633
20,19,56.0,20.0,81.6669689147358,18.333031085264196,[44],1121.4078195822417,1.217763157894737
21,20,55.0,21.0,81.67577894274423,18.324221057255762,[45],1207.424606490538,1.2289473684210528
22,21,54.0,22.0,81.67030989156497,18.32969010843504,[41],1120.7519619377215,1.2552631578947369
23,22,53.0,23.0,81.67965680865802,18.320343191341966,[16],1544.9150854348336,1.2763157894736843
24,23,52.0,24.0,81.68459706704658,18.315402932953415,[29],4.1233114686037215e-13,1.2934210526315788
25,24,51.0,25.0,81.69326796285173,18.306732037148272,[19],1547.068662987319,1.3065789473684213
26,25,50.0,26.0,81.70367375531988,18.296326244680124,[48],1.0555506655988452e-131,1.3184210526315792
27,26,49.0,27.0,81.70938480046641,18.29061519953359,[1],1586.0547953630091,1.3315789473684212
28,27,48.0,28.0,81.71149863641226,18.288501363587738,[3],1586.2156998464277,1.3460526315789474
29,28,47.0,29.0,81.71156654061772,18.28843345938228,[9],1622.335799096632,1.355263157894737
30,29,46.0,30.0,81.71315436729988,18.286845632700118,[11],1622.5376525212007,1.3730263157894738
31,30,45.0,31.0,81.71214217058127,18.287857829418723,[47],1900.2788320417478,1.3907894736842106
32,31,44.0,32.0,81.71724175079034,18.28275824920966,[22],1901.6064923181536,1.4138157894736842
33,32,43.0,33.0,81.71974987877044,18.280250121229553,[69],2009.1605854261657,1.438157894736842
34,33,42.0,34.0,81.72209938418298,18.277900615817018,[65],2009.7566450656986,1.4598684210526316
35,34,41.0,35.0,81.7221802913525,18.277819708647517,[10],2122.2847772784085,1.4842105263157894
36,35,40.0,36.0,81.72686770558684,18.273132294413166,[31],2140.44323842601,1.505921052631579
37,36,39.0,37.0,81.72835626691204,18.27164373308796,[4],2146.5852474772933,1.5269736842105264
38,37,38.0,38.0,81.73277187690617,18.267228123093826,[14],2147.487271534763,1.556578947368421
39,38,37.0,39.0,81.73528945694406,18.264710543055934,[20],2225.3747437100833,1.5809210526315791
40,39,36.0,40.0,81.73838387459055,18.261616125409454,[17],2225.6387741305275,1.5953947368421053
41,40,35.0,41.0,81.73981664155559,18.26018335844441,[15],2259.277995819435,1.6164473684210525
42,41,34.0,42.0,81.74180729249156,18.25819270750844,[12],2261.8388027679607,1.6230263157894735
43,42,33.0,43.0,81.74306401198264,18.256935988017354,[67],2503.009460288483,1.6394736842105262
44,43,32.0,44.0,81.74627026745496,18.253729732545036,[43],2321.7742780942776,1.6526315789473685
45,44,31.0,45.0,81.75138602696624,18.248613973033752,[46],2503.247451124983,1.6769736842105263
46,45,30.0,46.0,81.75490874971047,18.245091250289544,[74],2641.2485281702047,1.680921052631579
47,46,29.0,47.0,81.7611875111925,18.2388124888075,[28],2649.0342791559247,1.6881578947368419
48,47,28.0,48.0,81.76788686778984,18.23211313221016,[39],2658.8702185121647,1.7032894736842104
49,48,27.0,49.0,81.77320849516708,18.226791504832924,[70],2991.009772946237,1.7164473684210524
50,49,26.0,50.0,81.77563313652693,18.224366863473062,[72],3044.47451861395,1.7276315789473686
51,50,25.0,51.0,81.77694591841355,18.223054081586465,[23],3335.1342649902126,1.7578947368421052
52,51,24.0,52.0,81.78131623277963,18.218683767220377,[76],2926.9414841532407,1.7684210526315787
53,52,23.0,53.0,81.7815687018942,18.21843129810579,[13],3423.937144436064,1.7809210526315788
54,53,22.0,54.0,81.78593020051184,18.21406979948817,[36],3544.760690141041,1.8032894736842107
55,54,21.0,55.0,81.78798349437713,18.21201650562287,[33],3564.0450560016125,1.8138157894736842
56,55,20.0,56.0,81.79094974565656,18.209050254343442,[73],3615.2793169882098,1.8302631578947368
57,56,19.0,57.0,81.7919539338364,18.208046066163604,[68],4116.925892827306,1.8506578947368417
58,57,18.0,58.0,81.7938323125713,18.206167687428703,[63],3644.494265616168,1.8677631578947367
59,58,17.0,59.0,81.79491730341013,18.20508269658986,[52],4429.396548790437,1.8868421052631579
60,59,16.0,60.0,81.79786204315786,18.202137956842133,[59],4781.066870264186,1.9032894736842105
61,60,15.0,61.0,81.79948721878239,18.200512781217608,[53],4587.867906048782,1.9131578947368422
62,61,14.0,62.0,81.80163483969976,18.198365160300245,[71],4780.704838102604,1.9276315789473684
63,62,13.0,63.0,81.80303698900843,18.196963010991563,[40],4998.485008794384,1.9427631578947369
64,63,12.0,64.0,81.80709909747634,18.192900902523657,[49],5012.475618656152,1.9743421052631576
65,64,11.0,65.0,81.80899462028293,18.19100537971707,[21],5050.133071330697,1.9907894736842107
66,65,10.0,66.0,81.81334184030877,18.186658159691227,[24],4725.738445335352,2.0217105263157897
67,66,9.0,67.0,81.81647612798085,18.183523872019148,[30],5081.6610092967885,2.0381578947368424
68,67,8.0,68.0,81.81932326119352,18.180676738806486,[25],4962.606238309838,2.05921052631579
69,68,7.0,69.0,81.81944959493842,18.18055040506158,[32],5653.977982195365,2.0657894736842106
70,69,6.0,70.0,81.82183329270458,18.178166707295418,[26],4890.464932653561,2.0815789473684214
71,70,5.0,71.0,81.82244514392139,18.17755485607862,[61],7903.7177655215655,2.0848684210526316
72,71,4.0,72.0,81.82567006443965,18.174329935560348,[42],7028.310950891875,2.1052631578947367
73,72,3.0,73.0,81.82879001486315,18.17120998513684,[34],6428.722294938503,2.113815789473685
74,73,2.0,74.0,81.83114591283253,18.168854087167478,[58],8481.939017465276,2.1388157894736843
75,74,1.0,75.0,81.83370004754372,18.16629995245628,[27],8898.170599187766,2.125
76,75,0.0,76.0,81.83587547378643,18.16412452621357,[51],8964.072492235042,2.1355263157894737
