,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,44.0,0.0,,,,,
1,0,43.0,1.0,91.48126650934586,8.518733490654142,[24],0.0,0.39999999999999986
2,1,42.0,2.0,91.48126090755852,8.518739092441473,[25],0.0,0.40909090909090895
3,2,41.0,3.0,91.4815360548321,8.518463945167898,[27],0.0,0.41818181818181804
4,3,40.0,4.0,91.48176440761213,8.518235592387875,[2],0.0,0.4272727272727272
5,4,39.0,5.0,91.48238476448402,8.51761523551597,[21],0.0,0.4363636363636363
6,5,38.0,6.0,91.48251217501351,8.517487824986496,[19],0.0,0.4454545454545453
7,6,37.0,7.0,91.4829156120034,8.517084387996606,[43],0.0,0.45454545454545436
8,7,36.0,8.0,91.48284983317814,8.51715016682186,[40],0.0,0.4636363636363635
9,8,35.0,9.0,91.48253004259642,8.517469957403579,[10],0.0,0.4727272727272726
10,9,34.0,10.0,91.482487702125,8.517512297874996,[26],95.48285889386986,0.4818181818181817
11,10,33.0,11.0,91.48250901894328,8.517490981056735,[7],126.02828837090875,0.4909090909090908
12,11,32.0,12.0,91.48242030650728,8.51757969349273,[28],133.66472924947908,0.49999999999999983
13,12,31.0,13.0,91.48225576963085,8.517744230369146,[37],0.0,0.5090909090909089
14,13,30.0,14.0,91.48248050813041,8.517519491869587,[30],0.0,0.5181818181818181
15,14,29.0,15.0,91.48216928708193,8.517830712918075,[14],6.9446071909437e-172,0.5272727272727272
16,15,28.0,16.0,91.48206503482153,8.517934965178469,[29],5.64257230101486e-172,0.5363636363636363
17,16,27.0,17.0,91.48157014635588,8.518429853644118,[34],137.18827068399992,0.5454545454545453
18,17,26.0,18.0,91.48175147057906,8.518248529420948,[36],1.0364365144401818e-171,0.5545454545454545
19,18,25.0,19.0,91.4818841527387,8.518115847261294,[6],137.18215137288666,0.5636363636363636
20,19,24.0,20.0,91.4818931341616,8.518106865838405,[11],1.0364056206636913e-171,0.5727272727272726
21,20,23.0,21.0,91.4817104766698,8.518289523330193,[41],144.74531772845054,0.5818181818181818
22,21,22.0,22.0,91.48183267396821,8.518167326031785,[47],9.875530359027442e-172,0.5909090909090908
23,22,21.0,23.0,91.48180415256559,8.518195847434413,[20],337.6845104009324,0.6
24,23,20.0,24.0,91.52510217034782,8.474897829652175,[8],330.80698026088675,0.609090909090909
25,24,19.0,25.0,91.56750244618964,8.43249755381036,[13],324.0679445068195,0.618181818181818
26,25,18.0,26.0,91.6088806742483,8.39111932575171,[16],317.4569156704164,0.6272727272727272
27,26,17.0,27.0,91.64953451406481,8.350465485935182,[18],310.94978641148884,0.6363636363636364
28,27,16.0,28.0,91.68931627307478,8.310683726925214,[48],337.6503029154743,0.6454545454545454
29,28,15.0,29.0,91.73194124214345,8.268058757856549,[32],330.7923915011316,0.6545454545454545
30,29,14.0,30.0,91.77402387235877,8.225976127641236,[39],324.04524683607,0.6636363636363636
31,30,13.0,31.0,91.8154313871232,8.184568612876806,[42],317.43097342165663,0.6727272727272727
32,31,12.0,32.0,91.85583780956553,8.144162190434457,[44],310.9381147897833,0.6818181818181818
33,32,11.0,33.0,91.89547715230162,8.104522847698378,[1],343.7798207822618,0.6909090909090909
34,33,10.0,34.0,91.93901071433685,8.060989285663151,[9],136.15122946329643,0.7000000000000001
35,34,9.0,35.0,91.93878915067194,8.061210849328067,[23],336.8010399800986,0.7090909090909091
36,35,8.0,36.0,91.98196351883568,8.01803648116431,[31],0.0,0.7181818181818183
37,36,7.0,37.0,91.98237487546537,8.017625124534629,[33],329.89070606350725,0.7272727272727273
38,37,6.0,38.0,92.02420545089919,7.975794549100818,[35],323.1741772972296,0.7363636363636363
39,38,5.0,39.0,92.06556227130497,7.93443772869504,[5],343.82155513843975,0.7454545454545454
40,39,4.0,40.0,92.1089810133216,7.891018986678406,[12],336.84036526850633,0.7545454545454544
41,40,3.0,41.0,92.15252622668379,7.847473773316207,[22],329.93223689909746,0.7636363636363636
42,41,2.0,42.0,92.1942927512508,7.805707248749201,[38],323.198010449633,0.7727272727272726
43,42,1.0,43.0,92.23565815271033,7.764341847289661,[15],633.1897730371932,0.7818181818181816
44,43,0.0,44.0,92.31661918470598,7.683380815294017,[17],620.2345037531747,0.7909090909090907
