,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,44.0,0.0,,,,,
1,0,43.0,1.0,91.48126650934586,8.518733490654137,[14],0.0,0.39999999999999986
2,1,42.0,2.0,91.48126090755852,8.518739092441473,[25],0.0,0.40909090909090895
3,2,41.0,3.0,91.48153605483212,8.518463945167893,[28],0.0,0.41818181818181804
4,3,40.0,4.0,91.4817644076121,8.51823559238789,[21],0.0,0.42727272727272714
5,4,39.0,5.0,91.48238476448402,8.517615235515974,[33],0.0,0.4363636363636363
6,5,38.0,6.0,91.4825121750135,8.517487824986503,[22],105.03702437728604,0.4454545454545453
7,6,37.0,7.0,91.48291561200338,8.51708438799662,[1],114.55771753102853,0.45454545454545436
8,7,36.0,8.0,91.48284983317812,8.517150166821873,[19],7.757171405456946e-172,0.4636363636363635
9,8,35.0,9.0,91.48253004259642,8.517469957403577,[35],0.0,0.4727272727272726
10,9,34.0,10.0,91.482487702125,8.517512297875005,[27],0.0,0.4818181818181817
11,10,33.0,11.0,91.48250901894325,8.51749098105676,[9],8.463467204901976e-172,0.4909090909090908
12,11,32.0,12.0,91.48242030650725,8.517579693492745,[2],125.06924254358442,0.49999999999999983
13,12,31.0,13.0,91.48225576963081,8.517744230369182,[10],4.12138030822843e-172,0.5090909090909089
14,13,30.0,14.0,91.48248050813038,8.517519491869622,[42],125.07244543852326,0.5181818181818181
15,14,29.0,15.0,91.4821692870819,8.517830712918098,[48],4.1214383891100747e-172,0.5272727272727272
16,15,28.0,16.0,91.4820650348215,8.517934965178496,[37],0.0,0.5363636363636363
17,16,27.0,17.0,91.48157014635586,8.51842985364414,[30],1.0009097334848307e-171,0.5454545454545454
18,17,26.0,18.0,91.48175147057901,8.518248529420982,[24],126.04445129633507,0.5545454545454546
19,18,25.0,19.0,91.48188415273867,8.51811584726132,[17],4.157962118955027e-172,0.5636363636363636
20,19,24.0,20.0,91.48189313416157,8.518106865838423,[6],139.04527303010732,0.5727272727272728
21,20,23.0,21.0,91.48171047666979,8.51828952333021,[11],1.0009106176626525e-171,0.5818181818181819
22,21,22.0,22.0,91.48183267396773,8.518167326032266,[29],144.7505102604361,0.5909090909090909
23,22,21.0,23.0,91.48180415256503,8.518195847434955,[38],9.875897361770155e-172,0.6
24,23,20.0,24.0,91.48208033879708,8.51791966120292,[8],337.6896826902526,0.609090909090909
25,24,19.0,25.0,91.52493383673654,8.475066163263469,[13],330.8072205408866,0.6181818181818182
26,25,18.0,26.0,91.56743703719494,8.432562962805068,[18],324.06099941399196,0.6272727272727273
27,26,17.0,27.0,91.60886239570775,8.391137604292256,[20],317.43938180161945,0.6363636363636364
28,27,16.0,28.0,91.64936273700572,8.350637262994296,[16],310.95228382980883,0.6454545454545454
29,28,15.0,29.0,91.68949872447189,8.310501275528095,[32],337.6754166538279,0.6545454545454545
30,29,14.0,30.0,91.73237015205686,8.267629847943132,[34],330.80945294012054,0.6636363636363637
31,30,13.0,31.0,91.774355077883,8.225644922117006,[36],324.07515493276424,0.6727272727272727
32,31,12.0,32.0,91.81583640867818,8.184163591321829,[39],317.45327012168076,0.6818181818181819
33,32,11.0,33.0,91.85663336098074,8.143366639019252,[44],310.9538782053289,0.6909090909090909
34,33,10.0,34.0,91.89613877907865,8.103861220921347,[5],343.71449333469076,0.7000000000000001
35,34,9.0,35.0,91.93994570622729,8.060054293772717,[12],336.7100594310968,0.7090909090909091
36,35,8.0,36.0,91.98245532398343,8.017544676016566,[26],329.85430094678554,0.7181818181818183
37,36,7.0,37.0,92.02431626093238,7.975683739067615,[43],323.14468287160616,0.7272727272727273
38,37,6.0,38.0,92.06514280372767,7.9348571962723335,[40],316.53128227695356,0.7363636363636363
39,38,5.0,39.0,92.1058959986911,7.894104001308901,[7],343.83556066561056,0.7454545454545454
40,39,4.0,40.0,92.14938408848006,7.850615911519935,[15],336.86890570514555,0.7545454545454544
41,40,3.0,41.0,92.19245731954607,7.8075426804539365,[23],329.9481765522082,0.7636363636363636
42,41,2.0,42.0,92.23454367977646,7.765456320223535,[41],323.1828420321972,0.7727272727272726
43,42,1.0,43.0,92.27576411398826,7.724235886011745,[47],316.5871313594211,0.7818181818181816
44,43,0.0,44.0,92.31659969001733,7.68340030998267,[31],620.1705158707097,0.7909090909090907
