,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,76.0,0.0,,,,,
1,0,75.0,1.0,96.82305189271025,3.1769481072897414,[35],35.5685239001701,0.3999999999999999
2,1,74.0,2.0,96.82372770091162,3.1762722990883723,[7],35.5685239001701,0.4052631578947367
3,2,73.0,3.0,96.824403509113,3.175596490887002,[38],63.743687917576906,0.4105263157894736
4,3,72.0,4.0,96.82571716420205,3.174282835797959,[37],63.743687917576906,0.41578947368421043
5,4,71.0,5.0,96.82703081929108,3.1729691807089164,[54],64.46861470466301,0.4210526315789473
6,5,70.0,6.0,96.82728581470505,3.1727141852949456,[60],32.55972840254404,0.4263157894736841
7,6,69.0,7.0,96.82746982896708,3.1725301710329243,[18],64.46861470466301,0.431578947368421
8,7,68.0,8.0,96.8277541766392,3.1722458233607975,[56],32.55972840254404,0.43684210526315786
9,8,67.0,9.0,96.82797585074354,3.1720241492564654,[1],81.54313645005173,0.44210526315789467
10,9,66.0,10.0,96.82902358689427,3.1709764131057407,[3],119.24830439712714,0.4473684210526316
11,10,65.0,11.0,96.83007869299753,3.169921307002463,[4],131.99476880136524,0.45263157894736833
12,11,64.0,12.0,96.83166042880961,3.1683395711903857,[14],132.08549946151487,0.45789473684210524
13,12,63.0,13.0,96.83324321456637,3.1667567854336416,[50],141.91436476326095,0.46315789473684194
14,13,62.0,14.0,96.83442792379051,3.165572076209492,[44],142.7760072951529,0.46842105263157885
15,14,61.0,15.0,96.83490634856025,3.1650936514397467,[57],114.02150627571226,0.47368421052631576
16,15,60.0,16.0,96.83535106121106,3.164648938788947,[55],144.77554815299442,0.4789473684210525
17,16,59.0,17.0,96.83655973215292,3.163440267847085,[16],146.80598954598847,0.4842105263157894
18,17,58.0,18.0,96.83850278602412,3.161497213975887,[19],147.1117831236708,0.4894736842105263
19,18,57.0,19.0,96.84053064122024,3.159469358779763,[41],148.08093871465388,0.4947368421052631
20,19,56.0,20.0,96.84100906598998,3.1589909340100184,[45],155.1641598400027,0.5
21,20,55.0,21.0,96.84145545173376,3.158544548266249,[62],199.33093033608668,0.5052631578947367
22,21,54.0,22.0,96.8418718035095,3.158128196490491,[64],199.7113866262922,0.5105263157894736
23,22,53.0,23.0,96.84237721974935,3.1576227802506547,[10],202.5488883791285,0.5157894736842105
24,23,52.0,24.0,96.84496323261527,3.1550367673847264,[73],188.03269802318349,0.5210526315789473
25,24,51.0,25.0,96.84633962008496,3.153660379915039,[31],205.60443574640257,0.5263157894736841
26,25,50.0,26.0,96.84896492291934,3.15103507708066,[76],188.03269969223194,0.531578947368421
27,26,49.0,27.0,96.85034131038903,3.1496586896109733,[72],233.20054264701005,0.5368421052631579
28,27,48.0,28.0,96.85236881884894,3.147631181151047,[70],233.20054264701008,0.5421052631578945
29,28,47.0,29.0,96.85439632730886,3.145603672691121,[22],273.31013178670514,0.5473684210526315
30,29,46.0,30.0,96.85715892419974,3.1428410758002574,[47],274.3345353742477,0.5526315789473683
31,30,45.0,31.0,96.85993173994557,3.140068260054438,[12],289.64262317656045,0.5578947368421051
32,31,44.0,32.0,96.86478548409548,3.1352145159045386,[15],289.64262317656045,0.5631578947368421
33,32,43.0,33.0,96.86971627196266,3.1302837280373366,[2],295.74201380960506,0.5684210526315789
34,33,42.0,34.0,96.87728351164887,3.1227164883511342,[5],295.74201380960506,0.5736842105263157
35,34,41.0,35.0,96.88485075133507,3.1151492486649324,[8],340.54827046222493,0.5789473684210525
36,35,40.0,36.0,96.88972269925826,3.1102773007417412,[6],340.548270462225,0.5842105263157894
37,36,39.0,37.0,96.89459464718145,3.1054053528185492,[63],385.16864920258223,0.5894736842105261
38,37,38.0,38.0,96.89740747578885,3.1025925242111376,[17],388.6839460844171,0.594736842105263
39,38,37.0,39.0,96.90076183909258,3.099238160907405,[20],389.070074045086,0.5999999999999999
40,39,36.0,40.0,96.90411946760035,3.095880532399645,[71],391.62661200970706,0.6052631578947366
41,40,35.0,41.0,96.90727536201618,3.092724637983828,[36],394.4937697711373,0.6105263157894736
42,41,34.0,42.0,96.91352254475859,3.0864774552414143,[33],396.8330595287818,0.6157894736842104
43,42,33.0,43.0,96.9198071924453,3.0801928075546945,[42],398.71433598012555,0.6210526315789472
44,43,32.0,44.0,96.9229890171563,3.0770109828437,[49],398.8405189293479,0.6263157894736842
45,44,31.0,45.0,96.92380968899906,3.0761903110009374,[59],430.8464920865633,0.6315789473684209
46,45,30.0,46.0,96.92578023958248,3.0742197604175234,[53],358.38049373200397,0.6368421052631578
47,46,29.0,47.0,96.92838203113634,3.071617968863666,[29],435.0967347238383,0.6421052631578947
48,47,28.0,48.0,96.92969560605754,3.07030439394246,[40],437.55566359774576,0.6473684210526315
49,48,27.0,49.0,96.9332155445404,3.0667844554595924,[74],443.93053021445866,0.6526315789473683
50,49,26.0,50.0,96.94280704587118,3.0571929541288285,[39],448.23689583944,0.6578947368421052
51,50,25.0,51.0,96.95249370447166,3.0475062955283274,[9],487.68423313646576,0.663157894736842
52,51,24.0,52.0,96.955984862275,3.0440151377250073,[34],499.8439875053194,0.6684210526315788
53,52,23.0,53.0,96.95983630127526,3.0401636987247413,[11],515.3142464005748,0.6736842105263157
54,53,22.0,54.0,96.9634961921684,3.0365038078315894,[66],516.1684410559798,0.6789473684210524
55,54,21.0,55.0,96.96866736866825,3.031332631331756,[75],517.8132308459946,0.6842105263157893
56,55,20.0,56.0,96.97385452360348,3.026145476396519,[13],540.7899823403235,0.6894736842105261
57,56,19.0,57.0,96.9780733557403,3.0219266442596835,[23],542.2972909179655,0.694736842105263
58,57,18.0,58.0,96.98230202415547,3.0176979758445257,[48],582.6352079835971,0.6999999999999998
59,58,17.0,59.0,96.98697950396367,3.0130204960363316,[24],598.806030459322,0.7052631578947367
60,59,16.0,60.0,96.99445223704839,3.0055477629516174,[69],703.4614291476405,0.7105263157894735
61,60,15.0,61.0,96.9965163566269,3.003483643373094,[61],721.919110581011,0.7157894736842104
62,61,14.0,62.0,97.00141418810209,2.99858581189791,[68],485.53050386301805,0.7210526315789472
63,62,13.0,63.0,97.0052725715407,2.994727428459302,[58],552.4879071181527,0.726315789473684
64,63,12.0,64.0,97.00874186820738,2.9912581317926175,[65],700.7502808351064,0.7315789473684209
65,64,11.0,65.0,97.01079830342029,2.989201696579704,[21],768.0699123005039,0.7368421052631577
