,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,91.68946981869264,8.31053018130736,[13],0.0,0.375
2,1,46.0,2.0,91.68946981869881,8.310530181301186,[16],0.0,0.3833333333333333
3,2,45.0,3.0,91.68946981869881,8.310530181301186,[14],0.0,0.3916666666666666
4,3,44.0,4.0,91.68946981869881,8.310530181301186,[15],0.0,0.3999999999999999
5,4,43.0,5.0,91.68946981869881,8.310530181301186,[20],0.0,0.4083333333333334
6,5,42.0,6.0,91.68946981869881,8.310530181301186,[19],0.0,0.4166666666666667
7,6,41.0,7.0,91.68946981869881,8.310530181301186,[27],0.0,0.425
8,7,40.0,8.0,91.68946981869881,8.310530181301186,[28],0.0,0.4333333333333333
9,8,39.0,9.0,91.68946981869881,8.310530181301186,[39],0.0,0.44166666666666665
10,9,38.0,10.0,91.68946981869881,8.310530181301186,[23],0.0,0.45
11,10,37.0,11.0,91.68946981869881,8.310530181301186,[42],0.0,0.4583333333333333
12,11,36.0,12.0,91.68946981869881,8.310530181301186,[45],0.0,0.4666666666666666
13,12,35.0,13.0,91.68946981869881,8.310530181301186,[24],0.0,0.47500000000000003
14,13,34.0,14.0,91.68946981869881,8.310530181301186,[11],1.514007251575255e-303,0.4833333333333334
15,14,33.0,15.0,91.68946981869881,8.310530181301186,[18],0.0,0.4916666666666667
16,15,32.0,16.0,91.68946981869881,8.310530181301186,[10],0.0,0.5
17,16,31.0,17.0,91.68946981869881,8.310530181301186,[34],2.5952380470737325e-260,0.5083333333333334
18,17,30.0,18.0,91.68946981869881,8.310530181301186,[36],0.0,0.5166666666666667
19,18,29.0,19.0,91.68946981869881,8.310530181301186,[32],0.0,0.525
20,19,28.0,20.0,91.68946981869881,8.310530181301186,[37],0.0,0.5333333333333333
21,20,27.0,21.0,91.68946981869881,8.310530181301186,[30],0.0,0.5416666666666666
22,21,26.0,22.0,91.68946981869881,8.310530181301186,[40],2.9118876031018526e-86,0.5541666666666667
23,22,25.0,23.0,91.68946981869881,8.310530181301186,[43],6.00052445806753e-260,0.5625
24,23,24.0,24.0,91.68946981869881,8.310530181301186,[3],3.841213433879039e-86,0.5708333333333333
25,24,23.0,25.0,91.68946981869881,8.310530181301186,[8],7.526081523677917e-260,0.5791666666666666
26,25,22.0,26.0,91.68946981869881,8.310530181301186,[22],7.009739132240556e-260,0.5875
27,26,21.0,27.0,91.68946981869881,8.310530181301186,[47],5.827312627272318,0.5958333333333333
28,27,20.0,28.0,91.68946981869881,8.310530181301186,[41],1.814854907085035e-173,0.6041666666666666
29,28,19.0,29.0,91.68946981869881,8.310530181301186,[7],6.483722555401843,0.6124999999999999
30,29,18.0,30.0,91.68946981869881,8.310530181301186,[21],5.540083400575369e-173,0.6208333333333333
31,30,17.0,31.0,91.68946981869881,8.310530181301186,[44],16.023085915671757,0.6291666666666667
32,31,16.0,32.0,91.73064312917998,8.269356870820012,[46],15.693699431822369,0.6375
33,32,15.0,33.0,91.77104075341961,8.228959246580388,[48],15.370518437905373,0.6458333333333334
34,33,14.0,34.0,91.8106744150684,8.189325584931598,[2],16.27425478807347,0.6541666666666667
35,34,13.0,35.0,91.85243721547675,8.147562784523252,[4],15.940152384806694,0.6625
36,35,12.0,36.0,91.89341550235426,8.106584497645741,[6],15.612326089786613,0.6708333333333333
37,36,11.0,37.0,91.93362103901656,8.066378960983437,[1],17.093450373332132,0.6791666666666666
38,37,10.0,38.0,91.97729446571412,8.02270553428587,[9],16.744062959751204,0.6875
39,38,9.0,39.0,92.02015526066656,7.979844739333444,[25],10.400746136668229,0.6958333333333333
40,39,8.0,40.0,92.02015526066656,7.979844739333443,[17],1.070760830976774e-172,0.7041666666666666
41,40,7.0,41.0,92.02015526066656,7.979844739333443,[35],16.40117660013066,0.7124999999999999
42,41,6.0,42.0,92.06221529068173,7.937784709318262,[33],16.064696360007392,0.7208333333333332
43,42,5.0,43.0,92.10348638323742,7.896513616762574,[5],17.09345037333795,0.7291666666666666
44,43,4.0,44.0,92.14715980993573,7.852840190064264,[12],16.744062959753986,0.7374999999999999
45,44,3.0,45.0,92.19002060488887,7.80997939511112,[26],16.40117660013055,0.7458333333333332
46,45,2.0,46.0,92.23208063490476,7.7679193650952385,[38],16.0646963600045,0.7541666666666668
47,46,1.0,47.0,92.27335172746113,7.726648272538868,[29],31.469055239107707,0.7624999999999998
48,47,0.0,48.0,92.3843022342568,7.615697765743209,[31],30.581451184742455,0.7749999999999999
