,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,91.51570682691292,8.48429317308709,[19],0.0,0.375
2,1,46.0,2.0,91.51882073755266,8.48117926244734,[18],0.0,0.3833333333333333
3,2,45.0,3.0,91.5198064071238,8.480193592876208,[11],0.0,0.39166666666666666
4,3,44.0,4.0,91.52070074403854,8.479299255961466,[26],0.0,0.39999999999999997
5,4,43.0,5.0,91.52159812618102,8.47840187381898,[10],0.0,0.4083333333333334
6,5,42.0,6.0,91.52554334859356,8.474456651406447,[27],0.0,0.4166666666666667
7,6,41.0,7.0,91.52682591003312,8.47317408996687,[45],0.0,0.425
8,7,40.0,8.0,91.52760915278839,8.47239084721161,[13],0.0,0.4333333333333333
9,8,39.0,9.0,91.528724935158,8.471275064842004,[43],0.0,0.44166666666666665
10,9,38.0,10.0,91.53108932539624,8.468910674603757,[42],0.0,0.45
11,10,37.0,11.0,91.531834906292,8.468165093707984,[39],0.0,0.4583333333333333
12,11,36.0,12.0,91.5327549628318,8.467245037168203,[3],0.0,0.4666666666666666
13,12,35.0,13.0,91.53235593493693,8.467644065063062,[23],0.0,0.4749999999999999
14,13,34.0,14.0,91.5325989012185,8.467401098781492,[40],0.0,0.4833333333333334
15,14,33.0,15.0,91.53265498999926,8.467345010000745,[16],0.0,0.4916666666666667
16,15,32.0,16.0,91.53250029499473,8.467499705005261,[8],0.0,0.5
17,16,31.0,17.0,91.53253561843438,8.467464381565621,[20],0.0,0.5083333333333334
18,17,30.0,18.0,91.53311463507222,8.466885364927778,[37],7.038086761249427e-259,0.5166666666666667
19,18,29.0,19.0,91.53328791169906,8.466712088300934,[36],0.0,0.525
20,19,28.0,20.0,91.53362613278266,8.466373867217355,[34],0.0,0.5333333333333333
21,20,27.0,21.0,91.5347373024545,8.465262697545493,[30],0.0,0.5416666666666666
22,21,26.0,22.0,91.53510763131692,8.464892368683085,[32],0.0,0.5541666666666667
23,22,25.0,23.0,91.53522847965718,8.46477152034283,[22],5.407782694186559e-85,0.5625
24,23,24.0,24.0,91.5361627197194,8.463837280280611,[15],1.1192469562010072e-258,0.5708333333333333
25,24,23.0,25.0,91.53735217511651,8.46264782488349,[14],1.912398011968938e-41,0.5791666666666667
26,25,22.0,26.0,91.53713928754696,8.462860712453034,[28],3.765044595308656e-215,0.5875
27,26,21.0,27.0,91.53665933918175,8.463340660818252,[41],116.87064727949053,0.5958333333333333
28,27,20.0,28.0,91.53684097931331,8.463159020686687,[47],3.6394871583413916e-172,0.6041666666666666
29,28,19.0,29.0,91.53778792675406,8.46221207324594,[21],130.0112441110012,0.6124999999999999
30,29,18.0,30.0,91.53812574597865,8.461874254021344,[7],1.1108588399420169e-171,0.6208333333333332
31,30,17.0,31.0,91.53724361262762,8.462756387372378,[31],0.0,0.6291666666666667
32,31,16.0,32.0,91.53736838527651,8.462631614723486,[48],331.6785705059791,0.6375000000000001
33,32,15.0,33.0,91.57931931836112,8.420680681638883,[44],324.9219177471798,0.6458333333333334
34,33,14.0,34.0,91.62074403211315,8.379255967886841,[46],318.2760447435539,0.6541666666666667
35,34,13.0,35.0,91.66205467246053,8.337945327539476,[2],336.78225726707495,0.6625
36,35,12.0,36.0,91.70514143221733,8.294858567782672,[4],329.8992333681614,0.6708333333333334
37,36,11.0,37.0,91.74802828492965,8.251971715070356,[6],323.0920245928096,0.6791666666666666
38,37,10.0,38.0,91.7896151660058,8.210384833994206,[1],342.76596395295616,0.6875
39,38,9.0,39.0,91.83314191187337,8.166858088126622,[9],335.78597508059914,0.6958333333333333
40,39,8.0,40.0,91.87578154134096,8.12421845865905,[25],328.9364906110662,0.7041666666666666
41,40,7.0,41.0,91.91798861144946,8.082011388550555,[33],322.18920436300544,0.7125
42,41,6.0,42.0,91.95922273915771,8.040777260842292,[35],315.5807362016882,0.7208333333333332
43,42,5.0,43.0,92.00081963460248,7.999180365397517,[5],342.83699530535796,0.7291666666666666
44,43,4.0,44.0,92.04437782403026,7.955622175969738,[12],335.843977777147,0.7374999999999999
45,44,3.0,45.0,92.08688521522645,7.9131147847735495,[24],328.98079051788375,0.7458333333333332
46,45,2.0,46.0,92.12954851055869,7.870451489441317,[38],322.21010019325144,0.7541666666666668
47,46,1.0,47.0,92.1705205679319,7.829479432068098,[17],440.69136030222984,0.7624999999999998
48,47,0.0,48.0,92.21118282774526,7.788817172254737,[29],618.2169611276422,0.7708333333333334
