,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge
0,0,48.0,0.0,,,,
1,0,47.0,1.0,86.09245877663176,13.907541223368252,22.0,929.6500279703611
2,1,46.0,2.0,86.10562782349331,13.894372176506694,18.0,877.9934595134011
3,2,45.0,3.0,86.10800764834313,13.891992351656873,14.0,674.2795893316984
4,3,44.0,4.0,86.10822790449821,13.891772095501803,9.0,884.2727285952795
5,4,43.0,5.0,86.1135928737721,13.88640712622789,6.0,842.6130420761199
6,5,42.0,6.0,86.11968515231972,13.880314847680275,17.0,812.5184772777263
7,6,41.0,7.0,86.1218846011465,13.878115398853499,31.0,442.7353655377241
8,7,40.0,8.0,86.12398545555905,13.876014544440945,43.0,775.891386956598
9,8,39.0,9.0,86.1241848238073,13.875815176192704,11.0,991.3260767889046
10,9,38.0,10.0,86.12797754070348,13.87202245929651,47.0,1084.2186818210628
11,10,37.0,11.0,86.13335253100159,13.86664746899841,37.0,845.4527998315548
12,11,36.0,12.0,86.13882938157089,13.861170618429103,33.0,960.4481508384304
13,12,35.0,13.0,86.14282138594753,13.85717861405247,29.0,797.5702485698448
14,13,34.0,14.0,86.14472282756849,13.855277172431515,16.0,970.8759973190644
15,14,33.0,15.0,86.14776061020378,13.852239389796225,4.0,745.5521828545243
16,15,32.0,16.0,86.14853720877956,13.851462791220449,30.0,947.0073309926303
17,16,31.0,17.0,86.14924656198075,13.85075343801925,25.0,841.4556991873833
18,17,30.0,18.0,86.15325714682577,13.846742853174229,15.0,994.0300485003606
19,18,29.0,19.0,86.15868551899305,13.841314481006945,38.0,980.949799996826
20,19,28.0,20.0,86.16334067874294,13.836659321257061,41.0,658.3013410860817
21,20,27.0,21.0,86.168324027499,13.831675972501007,19.0,1165.7488236643628
22,21,26.0,22.0,86.18160032622936,13.818399673770646,27.0,1330.7098553679637
23,22,25.0,23.0,86.19263093041917,13.80736906958084,13.0,455.70447570480815
24,23,24.0,24.0,86.19637610058027,13.803623899419732,40.0,1165.5004159785417
25,24,23.0,25.0,86.20910361389869,13.79089638610131,23.0,1342.444414348523
26,25,22.0,26.0,86.22393719299656,13.776062807003445,36.0,1326.4187394372643
27,26,21.0,27.0,86.23723636903043,13.762763630969582,44.0,1492.6845700611802
28,27,20.0,28.0,86.25249406432644,13.747505935673562,34.0,1375.0104712238444
29,28,19.0,29.0,86.26766745855184,13.732332541448153,0.0,2156.7036599031535
30,29,18.0,30.0,86.29342736570939,13.706572634290618,10.0,1701.7486535492021
31,30,17.0,31.0,86.31432494083523,13.685675059164765,3.0,1765.382366235398
32,31,16.0,32.0,86.34125686350635,13.658743136493658,24.0,1767.0269821325064
33,32,15.0,33.0,86.36712713742341,13.632872862576587,28.0,1847.3576858689044
34,33,14.0,34.0,86.38457897304397,13.615421026956021,32.0,1512.0836437552298
35,34,13.0,35.0,86.40501205651171,13.594987943488288,20.0,1138.1769017137394
36,35,12.0,36.0,86.42163618456979,13.5783638154302,7.0,1010.4881183929474
37,36,11.0,37.0,86.4323376327358,13.567662367264216,42.0,4469.653772515096
38,37,10.0,38.0,86.50078136444843,13.499218635551562,39.0,3985.7936733953484
39,38,9.0,39.0,86.5427703178783,13.457229682121694,26.0,3488.49988419401
40,39,8.0,40.0,86.57850181279602,13.421498187203984,12.0,3251.776089930758
41,40,7.0,41.0,86.6299309007675,13.37006909923249,45.0,3615.5508126709647
42,41,6.0,42.0,86.67145458021733,13.328545419782662,1.0,3459.286924669921
43,42,5.0,43.0,86.71180357343398,13.288196426566017,2.0,3479.6312136014344
44,43,4.0,44.0,86.7464735839418,13.253526416058198,5.0,3246.9189605076886
45,44,3.0,45.0,86.79769586293544,13.202304137064555,8.0,3437.2932329942146
46,45,2.0,46.0,86.83237389022327,13.167626109776744,21.0,2658.107378631568
47,46,1.0,47.0,86.86424029612066,13.135759703879343,46.0,2635.7329516926843
48,47,0.0,48.0,86.89513034280176,13.10486965719823,35.0,3166.513076985739
