,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge
0,0,48.0,0.0,,,,
1,0,47.0,1.0,91.62192669212035,8.378073307879646,45.0,232.38249016690085
2,1,46.0,2.0,91.62370379668148,8.376296203318526,46.0,220.9192796421876
3,2,45.0,3.0,91.62612335072384,8.373876649276156,34.0,229.20210096994202
4,3,44.0,4.0,91.62637699575153,8.373623004248476,20.0,190.3708235890023
5,4,43.0,5.0,91.6267459196903,8.373254080309698,7.0,158.41784290159447
6,5,42.0,6.0,91.62689496747414,8.373105032525839,18.0,231.01446208135476
7,6,41.0,7.0,91.62802191458184,8.371978085418158,22.0,113.61065188096974
8,7,40.0,8.0,91.62926196633289,8.370738033667124,14.0,208.8391111551897
9,8,39.0,9.0,91.63049043407364,8.369509565926363,39.0,261.17823258619467
10,9,38.0,10.0,91.63360302071362,8.36639697928638,26.0,242.14720681082443
11,10,37.0,11.0,91.63703527980512,8.362964720194878,13.0,303.85515914609
12,11,36.0,12.0,91.63860879626918,8.36139120373082,27.0,214.4958633483634
13,12,35.0,13.0,91.64046584663753,8.359534153362478,35.0,310.60976082237164
14,13,34.0,14.0,91.64379114426521,8.356208855734803,33.0,267.7043225359113
15,14,33.0,15.0,91.64783816443659,8.352161835563418,12.0,255.71782708151216
16,15,32.0,16.0,91.6508975510992,8.349102448900792,1.0,256.373710468052
17,16,31.0,17.0,91.65610157134532,8.343898428654681,2.0,309.79982902999257
18,17,30.0,18.0,91.65980002483451,8.340199975165499,42.0,348.74896219109917
19,18,29.0,19.0,91.66703715620285,8.332962843797144,43.0,363.31821082677646
20,19,28.0,20.0,91.67292816106477,8.327071838935234,32.0,322.0410339005588
21,20,27.0,21.0,91.67783921338433,8.322160786615676,36.0,292.2556642455126
22,21,26.0,22.0,91.68397788402673,8.316022115973265,30.0,348.68875262245103
23,22,25.0,23.0,91.68875530361203,8.311244696387979,25.0,390.1680612474895
24,23,24.0,24.0,91.69374432323572,8.306255676764279,17.0,388.3121802937547
25,24,23.0,25.0,91.69694566608511,8.303054333914888,31.0,307.8397919812311
26,25,22.0,26.0,91.70289771124749,8.297102288752502,29.0,370.6577340947322
27,26,21.0,27.0,91.70982382064761,8.290176179352388,11.0,398.3878533095232
28,27,20.0,28.0,91.71645173287382,8.283548267126168,41.0,452.5738038357783
29,28,19.0,29.0,91.72085015196559,8.279149848034406,38.0,416.80844600389185
30,29,18.0,30.0,91.72854852963479,8.271451470365223,15.0,461.2210823035763
31,30,17.0,31.0,91.73628292276233,8.263717077237681,19.0,439.2942734784517
32,31,16.0,32.0,91.7456362454377,8.254363754562297,21.0,452.8235274067143
33,32,15.0,33.0,91.75352660885999,8.246473391140015,8.0,457.91033963076825
34,33,14.0,34.0,91.76336237550879,8.236637624491209,5.0,499.82138032730796
35,34,13.0,35.0,91.77347923917722,8.22652076082279,4.0,491.3317828516654
36,35,12.0,36.0,91.78399992164236,8.216000078357649,16.0,494.7596425433602
37,36,11.0,37.0,91.79209079820478,8.20790920179522,37.0,550.2686858713304
38,37,10.0,38.0,91.80421536804329,8.195784631956707,9.0,636.1379430097749
39,38,9.0,39.0,91.81836066402867,8.181639335971328,47.0,672.605626890599
40,39,8.0,40.0,91.83322912714883,8.166770872851187,23.0,726.6689204945453
41,40,7.0,41.0,91.84956726600473,8.150432733995288,6.0,756.6185643625322
42,41,6.0,42.0,91.86625321396977,8.13374678603023,44.0,804.0440417374351
43,42,5.0,43.0,91.8829239652166,8.117076034783373,40.0,814.4475713837137
44,43,4.0,44.0,91.89995135944518,8.100048640554824,0.0,833.2369611014316
45,44,3.0,45.0,91.91840549207588,8.081594507924125,3.0,942.0455323735717
46,45,2.0,46.0,91.93898304111298,8.061016958887016,28.0,1002.5938959993066
47,46,1.0,47.0,91.96092240109856,8.039077598901445,10.0,1012.1747984041577
48,47,0.0,48.0,91.9830784706575,8.016921529342499,24.0,1020.306328582481
