,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge
0,0,48.0,0.0,,,,
1,0,47.0,1.0,80.67478287955406,19.325217120445938,11.0,891.924753280499
2,1,46.0,2.0,81.9742580572448,18.02574194275519,39.0,915.165860287875
3,2,45.0,3.0,82.2432835814887,17.7567164185113,45.0,914.5133035232966
4,3,44.0,4.0,82.30875398797583,17.691246012024163,42.0,969.7089554587895
5,4,43.0,5.0,82.334678797316,17.66532120268399,30.0,1220.8591320426733
6,5,42.0,6.0,82.34394451793705,17.656055482062953,16.0,805.3927883140859
7,6,41.0,7.0,82.34867080006313,17.651329199936853,4.0,1275.0662396291289
8,7,40.0,8.0,82.35133531920413,17.648664680795868,15.0,778.1335801383902
9,8,39.0,9.0,82.35550022778668,17.644499772213308,9.0,1376.489419440197
10,9,38.0,10.0,82.36218722184132,17.637812778158686,22.0,1170.4323773969293
11,10,37.0,11.0,82.36259584287524,17.637404157124774,6.0,1204.5616630853415
12,11,36.0,12.0,82.37342785549181,17.62657214450819,17.0,1047.1097322363107
13,12,35.0,13.0,82.38395420149747,17.61604579850252,47.0,1592.9990311107522
14,13,34.0,14.0,82.39253818144,17.607461818559997,37.0,1151.0689106969576
15,14,33.0,15.0,82.40492145707027,17.595078542929738,5.0,1586.3937217567006
16,15,32.0,16.0,82.41537899883717,17.584621001162837,1.0,1328.8739462011667
17,16,31.0,17.0,82.43059699692674,17.56940300307326,2.0,891.4900527689774
18,17,30.0,18.0,82.43176004205219,17.568239957947814,13.0,1567.6907486997802
19,18,29.0,19.0,82.43817500897524,17.56182499102477,26.0,1632.042723794875
20,19,28.0,20.0,82.44924682264492,17.550753177355087,12.0,1623.9299379337235
21,20,27.0,21.0,82.47047430095056,17.529525699049447,43.0,1745.3911476826688
22,21,26.0,22.0,82.48659047859182,17.513409521408178,33.0,1686.693592562709
23,22,25.0,23.0,82.49302668938863,17.50697331061137,35.0,1499.243280927929
24,23,24.0,24.0,82.52171269831283,17.478287301687175,8.0,1744.1874721265474
25,24,23.0,25.0,82.54868696299371,17.45131303700629,21.0,1869.6083509091907
26,25,22.0,26.0,82.58158711836626,17.41841288163374,25.0,1721.1770605956501
27,26,21.0,27.0,82.59933564516089,17.400664354839112,29.0,1761.743414348421
28,27,20.0,28.0,82.64370338097638,17.356296619023635,31.0,2314.7283508089163
29,28,19.0,29.0,82.63683067147329,17.363169328526702,18.0,1335.3174096048792
30,29,18.0,30.0,82.65645741842445,17.343542581575562,19.0,2352.3234049987786
31,30,17.0,31.0,82.67809018099142,17.321909819008578,14.0,2486.172161294692
32,31,16.0,32.0,82.68204966532244,17.317950334677565,27.0,2553.3439458507437
33,32,15.0,33.0,82.71438704178549,17.285612958214514,40.0,1904.122477632084
34,33,14.0,34.0,82.70728540066436,17.29271459933565,23.0,2958.843676977302
35,34,13.0,35.0,82.73716886221663,17.262831137783376,46.0,3535.430475999608
36,35,12.0,36.0,82.79991062418478,17.200089375815228,36.0,3132.312941832439
37,36,11.0,37.0,82.8494135163891,17.1505864836109,28.0,3490.113089946746
38,37,10.0,38.0,82.935625068534,17.064374931466013,32.0,2387.8146660773987
39,38,9.0,39.0,82.90859554365126,17.091404456348737,20.0,4787.92488879701
40,39,8.0,40.0,83.0185168503788,16.981483149621198,7.0,5376.364817810692
41,40,7.0,41.0,83.07664136122894,16.923358638771074,3.0,4769.38912313924
42,41,6.0,42.0,83.1735337814367,16.826466218563287,0.0,4504.525527357337
43,42,5.0,43.0,83.22217426106788,16.77782573893213,10.0,5557.370547193472
44,43,4.0,44.0,83.3243201569938,16.675679843006208,34.0,5586.385549809276
45,44,3.0,45.0,83.31280929499108,16.687190705008923,44.0,8057.936455793899
46,45,2.0,46.0,83.46497268414548,16.535027315854528,38.0,6102.085098441748
47,46,1.0,47.0,83.5309894555563,16.4690105444437,41.0,5263.779282538785
48,47,0.0,48.0,83.674401863541,16.325598136459003,24.0,6368.7059169712775
