,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,80.47476763513957,19.525232364860422,42.0,210.06516664902244,0.375
2,1,46.0,2.0,81.80535797612811,18.194642023871904,44.0,206.22314859139976,0.3875
3,2,45.0,3.0,82.07880644629887,17.92119355370114,45.0,4.649568529625456e-85,0.4083333333333334
4,3,44.0,4.0,82.13984140753615,17.860158592463858,46.0,21.955077133299422,0.4208333333333332
5,4,43.0,5.0,82.16219244581285,17.837807554187147,35.0,121.0641847096424,0.4333333333333333
6,5,42.0,6.0,82.1707413074662,17.82925869253381,27.0,3.9273122436378824e-85,0.4541666666666666
7,6,41.0,7.0,82.17425717979356,17.825742820206443,23.0,0.0,0.47500000000000003
8,7,40.0,8.0,82.1852402794143,17.8147597205857,43.0,147.02828189297105,0.4875
9,8,39.0,9.0,82.32471687248051,17.675283127519485,13.0,305.96478580944415,0.5
10,9,38.0,10.0,82.33923116049024,17.660768839509753,9.0,1.023420046851782e-258,0.5125
11,10,37.0,11.0,82.35141185952938,17.648588140470615,12.0,98.34345219717527,0.525
12,11,36.0,12.0,82.36961015541658,17.63038984458341,20.0,6.643666345580524e-85,0.5416666666666666
13,12,35.0,13.0,82.38562568323974,17.614374316760255,24.0,63.466566586699294,0.5541666666666667
14,13,34.0,14.0,82.42604646799107,17.57395353200892,6.0,256.23111397270145,0.5750000000000001
15,14,33.0,15.0,82.43448713266946,17.565512867330547,4.0,392.7979882798664,0.5833333333333334
16,15,32.0,16.0,82.45788534505505,17.542114654944953,16.0,221.84852710259847,0.5958333333333333
17,16,31.0,17.0,82.53604731921823,17.463952680781777,8.0,31.813295217135504,0.6125
18,17,30.0,18.0,82.55607851075123,17.44392148924878,22.0,422.920666783637,0.625
19,18,29.0,19.0,82.572285926828,17.427714073171995,19.0,413.22260739009874,0.6375000000000001
20,19,28.0,20.0,82.63762778786933,17.36237221213065,14.0,189.24202814056932,0.65
21,20,27.0,21.0,82.66334974518126,17.336650254818732,15.0,7.922177290415821e-129,0.6666666666666666
22,21,26.0,22.0,82.65394909646626,17.346050903533737,17.0,391.3334067879697,0.6833333333333332
23,22,25.0,23.0,82.72170347955836,17.278296520441657,40.0,1058.1087509221936,0.6958333333333333
24,23,24.0,24.0,82.73571918486549,17.2642808151345,39.0,2.0399233530157868e-84,0.7125
25,24,23.0,25.0,82.73405759395267,17.265942406047333,34.0,1209.5811708356737,0.7208333333333333
26,25,22.0,26.0,82.75034638515855,17.24965361484145,38.0,1353.2409304098621,0.7333333333333334
27,26,21.0,27.0,82.77208755561063,17.227912444389375,32.0,1376.6612110411065,0.7541666666666668
28,27,20.0,28.0,82.80646259032433,17.19353740967567,26.0,709.2009839545992,0.7791666666666668
29,28,19.0,29.0,82.82774102067822,17.17225897932179,36.0,534.1292512520482,0.7916666666666666
30,29,18.0,30.0,82.85704383453852,17.14295616546148,31.0,622.045748160069,0.8041666666666666
31,30,17.0,31.0,82.87055741769922,17.129442582300786,11.0,245.54243268201589,0.8249999999999998
32,31,16.0,32.0,82.83053092438479,17.16946907561521,33.0,379.70917976689486,0.8375
33,32,15.0,33.0,82.8519232805815,17.148076719418494,18.0,1143.8536309398849,0.8458333333333332
34,33,14.0,34.0,82.8740017139005,17.12599828609951,25.0,798.0755475251549,0.8666666666666666
35,34,13.0,35.0,82.92438942139955,17.07561057860045,28.0,874.1119449153392,0.8833333333333333
36,35,12.0,36.0,82.93026198148587,17.069738018514116,29.0,4.3038016922599945e-85,0.9041666666666667
37,36,11.0,37.0,82.94230181300553,17.05769818699448,30.0,77.11007078313567,0.9166666666666666
38,37,10.0,38.0,82.96167977835502,17.03832022164498,41.0,2249.431841652594,0.9291666666666667
39,38,9.0,39.0,83.07854261384863,16.921457386151374,47.0,2240.947967795211,0.9500000000000001
40,39,8.0,40.0,83.11042966700339,16.88957033299661,37.0,2439.3058190424913,0.9625
41,40,7.0,41.0,83.14120490403658,16.85879509596341,10.0,2786.5410893597327,0.9708333333333335
42,41,6.0,42.0,83.19762265771246,16.802377342287546,21.0,2568.582750078574,0.9833333333333334
43,42,5.0,43.0,83.29802530363422,16.701974696365777,7.0,2763.77183436032,0.9958333333333332
44,43,4.0,44.0,83.2818027139726,16.718197286027408,0.0,3087.894502728682,1.0083333333333335
45,44,3.0,45.0,83.30197983093748,16.69802016906252,2.0,4106.071509118006,1.0208333333333333
46,45,2.0,46.0,83.45358567438733,16.546414325612663,5.0,3368.5368677143615,1.0375
47,46,1.0,47.0,83.537629087805,16.46237091219499,3.0,2111.761999274283,1.0666666666666667
48,47,0.0,48.0,83.5890944169317,16.410905583068295,1.0,3984.5557258225044,1.0916666666666668
