,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge
0,0,48.0,0.0,,,,
1,0,47.0,1.0,84.7565887207901,15.243411279209898,39.0,178.36644896849813
2,1,46.0,2.0,84.81436646726249,15.185633532737523,41.0,193.8545256846243
3,2,45.0,3.0,84.81849373667525,15.181506263324755,11.0,308.7755488210306
4,3,44.0,4.0,84.82395718861737,15.176042811382631,14.0,418.4729726880586
5,4,43.0,5.0,84.82594933807138,15.174050661928614,42.0,810.4830156836313
6,5,42.0,6.0,84.83428735487999,15.165712645120008,45.0,744.5258169755422
7,6,41.0,7.0,84.83653029964267,15.163469700357336,9.0,882.2482847292716
8,7,40.0,8.0,84.8479188734606,15.152081126539407,6.0,853.0805350951616
9,8,39.0,9.0,84.85377373276815,15.146226267231851,22.0,886.3292117409088
10,9,38.0,10.0,84.85629221496669,15.14370778503332,18.0,736.9657402534943
11,10,37.0,11.0,84.85747424520123,15.142525754798758,16.0,860.0477170692727
12,11,36.0,12.0,84.86032124064884,15.139678759351158,0.0,917.9499123375622
13,12,35.0,13.0,84.87278718140783,15.127212818592167,4.0,753.0698142089382
14,13,34.0,14.0,84.87429833568804,15.125701664311975,15.0,141.22955777144912
15,14,33.0,15.0,84.87475061532524,15.125249384674758,27.0,1015.9332665592082
16,15,32.0,16.0,84.88536346609413,15.114636533905868,13.0,2.629051381774166
17,16,31.0,17.0,84.88228819408523,15.117711805914766,47.0,1042.853730412433
18,17,30.0,18.0,84.88668832376199,15.11331167623801,10.0,965.6565443177421
19,18,29.0,19.0,84.89349464672951,15.106505353270485,44.0,1113.9027496323297
20,19,28.0,20.0,84.89751313850375,15.102486861496251,3.0,1248.3628468577958
21,20,27.0,21.0,84.91557645549872,15.084423544501272,34.0,1382.1890875242568
22,21,26.0,22.0,84.93546178592712,15.06453821407288,24.0,1448.9534265773714
23,22,25.0,23.0,84.96006453329282,15.039935466707174,26.0,1510.6431782071254
24,23,24.0,24.0,84.99826332152071,15.001736678479277,40.0,1523.5850577400859
25,24,23.0,25.0,85.0196881719623,14.980311828037701,38.0,1555.8416007871956
26,25,22.0,26.0,85.0359613964311,14.964038603568902,43.0,1614.8302521036928
27,26,21.0,27.0,85.0585410319832,14.941458968016788,28.0,1630.2863218875727
28,27,20.0,28.0,85.08016622950817,14.919833770491838,46.0,1818.345887246415
29,28,19.0,29.0,85.10064523290359,14.89935476709642,19.0,1867.6479201730517
30,29,18.0,30.0,85.10135351037073,14.89864648962927,23.0,1166.249027693952
31,30,17.0,31.0,85.12660890272038,14.873391097279617,36.0,1359.722271065251
32,31,16.0,32.0,85.13933829276776,14.860661707232234,37.0,1992.614959444724
33,32,15.0,33.0,85.16608015754858,14.833919842451431,32.0,2404.418226320353
34,33,14.0,34.0,85.19306813564872,14.806931864351276,30.0,2085.3929305563533
35,34,13.0,35.0,85.21807047052786,14.781929529472137,20.0,2093.7234219568936
36,35,12.0,36.0,85.25799305452246,14.742006945477534,7.0,1405.8795870852186
37,36,11.0,37.0,85.274650882053,14.725349117947015,17.0,2932.5916125871513
38,37,10.0,38.0,85.31300637075731,14.686993629242695,31.0,2440.397398260954
39,38,9.0,39.0,85.32230548922274,14.677694510777261,29.0,5208.439944283536
40,39,8.0,40.0,85.41081713046654,14.58918286953345,25.0,5544.7920956513235
41,40,7.0,41.0,85.49244499606056,14.50755500393944,12.0,3287.13635964993
42,41,6.0,42.0,85.55435609318263,14.445643906817365,1.0,3539.9703150963264
43,42,5.0,43.0,85.60204435053292,14.39795564946708,2.0,4180.846277112266
44,43,4.0,44.0,85.65781622225252,14.342183777747481,35.0,4159.22032309429
45,44,3.0,45.0,85.70555956773704,14.294440432262956,33.0,3352.5702160800734
46,45,2.0,46.0,85.75991261372162,14.240087386278383,21.0,3802.41479044606
47,46,1.0,47.0,85.7922936653242,14.207706334675807,8.0,4078.5975760139386
48,47,0.0,48.0,85.8678025007505,14.132197499249491,5.0,4438.378401262164
