,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,46.0,0.0,,,,,
1,0,45.0,1.0,91.51610296005911,8.48389703994088,43.0,1.4019800934492497e-85,0.3869565217391303
2,1,44.0,2.0,91.51339173709034,8.486608262909664,41.0,5.462403278108908e-172,0.39565217391304336
3,2,43.0,3.0,91.51677626854725,8.483223731452746,40.0,5.0672922535161674e-172,0.40434782608695646
4,3,42.0,4.0,91.51382893976698,8.48617106023301,45.0,0.0,0.41304347826086957
5,4,41.0,5.0,91.53379217704465,8.46620782295535,23.0,0.0,0.42173913043478267
6,5,40.0,6.0,91.54677116389075,8.453228836109243,44.0,0.0,0.43478260869565216
7,6,39.0,7.0,91.5665074032281,8.433492596771899,38.0,0.0,0.44347826086956527
8,7,38.0,8.0,91.57748067651221,8.422519323487778,21.0,5.400198042565084e-172,0.45217391304347837
9,8,37.0,9.0,91.594451491847,8.405548508152995,1.0,63.02390769923406,0.4608695652173914
10,9,36.0,10.0,91.60494092803837,8.395059071961626,7.0,63.04231417869368,0.46956521739130447
11,10,35.0,11.0,91.62160903778182,8.378390962218178,17.0,3.380833362520108e-20,0.47826086956521746
12,11,34.0,12.0,91.61844699932111,8.381553000678894,16.0,5.045370230744261e-172,0.48695652173913045
13,12,33.0,13.0,91.64158344884048,8.358416551159516,20.0,1.7745404652046657e-63,0.4956521739130435
14,13,32.0,14.0,91.63857771662111,8.361422283378882,26.0,77.69163494326381,0.5043478260869566
15,14,31.0,15.0,91.66385274403986,8.336147255960132,27.0,0.0,0.5173913043478262
16,15,30.0,16.0,91.68412399526248,8.315876004737516,42.0,87.75982039901888,0.5260869565217393
17,16,29.0,17.0,91.72982298989159,8.27017701010841,39.0,87.75379612720685,0.5347826086956523
18,17,28.0,18.0,91.72661130140365,8.273388698596348,10.0,93.37340957936071,0.5434782608695654
19,18,27.0,19.0,91.7489921833209,8.251007816679106,24.0,93.32136236863336,0.5521739130434784
20,19,26.0,20.0,91.78689612481823,8.213103875181767,4.0,152.4316565762442,0.5608695652173914
21,20,25.0,21.0,91.81907263978898,8.180927360211014,18.0,152.34638468603765,0.5695652173913045
22,21,24.0,22.0,91.83010772808483,8.16989227191517,22.0,1.931914307232897e-172,0.5782608695652176
23,22,23.0,23.0,91.85236220711865,8.14763779288135,12.0,6.734955952747802e-172,0.5869565217391306
24,23,22.0,24.0,91.8491763473809,8.150823652619108,13.0,9.364020500145797e-172,0.5956521739130436
25,24,21.0,25.0,91.86655506786772,8.13344493213227,2.0,66.01210760403508,0.6043478260869566
26,25,20.0,26.0,91.89176628399304,8.108233716006975,9.0,66.05660066748922,0.6130434782608696
27,26,19.0,27.0,91.89443905119019,8.105560948809808,19.0,158.81094271745363,0.6217391304347828
28,27,18.0,28.0,91.91965140107892,8.080348598921082,14.0,163.42751877970352,0.6304347826086958
29,28,17.0,29.0,91.94234921512265,8.057650784877357,15.0,163.338959156753,0.6391304347826088
30,29,16.0,30.0,91.95345767374927,8.046542326250723,37.0,293.84674805601315,0.6478260869565219
31,30,15.0,31.0,91.95634827504054,8.043651724959457,25.0,320.6358922369361,0.6565217391304349
32,31,14.0,32.0,91.96223348577064,8.037766514229356,36.0,218.5042800312105,0.665217391304348
33,32,13.0,33.0,92.00676654897843,7.993233451021574,5.0,252.87589373842945,0.673913043478261
34,33,12.0,34.0,92.03136116655371,7.968638833446301,3.0,257.5857343515765,0.6826086956521741
35,34,11.0,35.0,92.06228183291579,7.937718167084206,8.0,257.4929082182436,0.6913043478260871
36,35,10.0,36.0,92.07248159870367,7.92751840129633,30.0,317.3337080129761,0.7000000000000001
37,36,9.0,37.0,92.11652032461674,7.883479675383256,32.0,93.33924798059505,0.7086956521739131
38,37,8.0,38.0,92.12758065786325,7.872419342136748,34.0,248.98804545323577,0.7173913043478263
39,38,7.0,39.0,92.15705595341805,7.842944046581943,33.0,105.60962992298325,0.7260869565217393
40,39,6.0,40.0,92.16825884456473,7.831741155435261,11.0,274.27749484302024,0.7347826086956523
41,40,5.0,41.0,92.19767050032021,7.802329499679783,35.0,279.5643100398844,0.7434782608695651
42,41,4.0,42.0,92.20882718149726,7.791172818502745,29.0,310.8712191155834,0.7521739130434782
43,42,3.0,43.0,92.23634697203696,7.763653027963039,0.0,318.46639333483324,0.7608695652173914
44,43,2.0,44.0,92.26124202006986,7.738757979930146,6.0,122.05278772714286,0.7695652173913043
45,44,1.0,45.0,92.29016222869451,7.709837771305494,28.0,472.49104185096644,0.7782608695652173
46,45,0.0,46.0,92.30817594497003,7.691824055029977,31.0,467.6332202808303,0.7869565217391303
